"simulation","depthclass","date","year","month","area_weighted_temp"
"ssp126","Bottom",2002-08-16,2002,8,6.49086357618933
"ssp126","Bottom",2002-09-15,2002,9,6.86652415836257
"ssp126","Bottom",2002-10-16,2002,10,7.09803480230153
"ssp126","Bottom",2002-11-15,2002,11,7.86982343978304
"ssp126","Bottom",2002-12-16,2002,12,7.97828061225981
"ssp126","Bottom",2003-01-16,2003,1,7.66573842250889
"ssp126","Bottom",2003-02-14,2003,2,7.1134839755306
"ssp126","Bottom",2003-03-16,2003,3,6.67084477625721
"ssp126","Bottom",2003-04-15,2003,4,6.45744140345191
"ssp126","Bottom",2003-05-16,2003,5,6.51325782909714
"ssp126","Bottom",2003-06-15,2003,6,6.67567481856284
"ssp126","Bottom",2003-07-16,2003,7,6.67838239280141
"ssp126","Bottom",2003-08-16,2003,8,6.92151167549393
"ssp126","Bottom",2003-09-15,2003,9,7.41383688316272
"ssp126","Bottom",2003-10-16,2003,10,8.17139063932456
"ssp126","Bottom",2003-11-15,2003,11,7.80332098969634
"ssp126","Bottom",2003-12-16,2003,12,7.47762548071978
"ssp126","Bottom",2004-01-16,2004,1,6.82063406580302
"ssp126","Bottom",2004-02-15,2004,2,6.13034627877254
"ssp126","Bottom",2004-03-16,2004,3,6.11678871219964
"ssp126","Bottom",2004-04-15,2004,4,6.15437551688078
"ssp126","Bottom",2004-05-16,2004,5,6.21652579615114
"ssp126","Bottom",2004-06-15,2004,6,6.44353343763636
"ssp126","Bottom",2004-07-16,2004,7,6.63165962546612
"ssp126","Bottom",2004-08-16,2004,8,6.89395961031184
"ssp126","Bottom",2004-09-15,2004,9,7.15814358564878
"ssp126","Bottom",2004-10-16,2004,10,7.89847962587526
"ssp126","Bottom",2004-11-15,2004,11,7.78129352290607
"ssp126","Bottom",2004-12-16,2004,12,7.58371081666224
"ssp126","Bottom",2005-01-16,2005,1,6.94137379294223
"ssp126","Bottom",2005-02-14,2005,2,6.34061477800857
"ssp126","Bottom",2005-03-16,2005,3,6.23594178559724
"ssp126","Bottom",2005-04-15,2005,4,6.32788119425785
"ssp126","Bottom",2005-05-16,2005,5,6.48937357687669
"ssp126","Bottom",2005-06-15,2005,6,6.67888870500454
"ssp126","Bottom",2005-07-16,2005,7,6.88425696762382
"ssp126","Bottom",2005-08-16,2005,8,7.20949729800141
"ssp126","Bottom",2005-09-15,2005,9,7.46098713386882
"ssp126","Bottom",2005-10-16,2005,10,8.26044139930049
"ssp126","Bottom",2005-11-15,2005,11,8.23923698659076
"ssp126","Bottom",2005-12-16,2005,12,7.77388156342105
"ssp126","Bottom",2006-01-16,2006,1,7.46923943401842
"ssp126","Bottom",2006-02-14,2006,2,6.65232032003933
"ssp126","Bottom",2006-03-16,2006,3,6.09733502127839
"ssp126","Bottom",2006-04-15,2006,4,6.11525037904262
"ssp126","Bottom",2006-05-16,2006,5,6.28639783141439
"ssp126","Bottom",2006-06-15,2006,6,6.5807482706261
"ssp126","Bottom",2006-07-16,2006,7,6.76181040371919
"ssp126","Bottom",2006-08-16,2006,8,7.24180811470937
"ssp126","Bottom",2006-09-15,2006,9,7.65478930520953
"ssp126","Bottom",2006-10-16,2006,10,7.67195401688517
"ssp126","Bottom",2006-11-15,2006,11,7.20201923855912
"ssp126","Bottom",2006-12-16,2006,12,6.68449439342236
"ssp126","Bottom",2007-01-16,2007,1,6.15372631458815
"ssp126","Bottom",2007-02-14,2007,2,5.91145719249055
"ssp126","Bottom",2007-03-16,2007,3,5.11342717685614
"ssp126","Bottom",2007-04-15,2007,4,5.28268044640648
"ssp126","Bottom",2007-05-16,2007,5,5.62154593702312
"ssp126","Bottom",2007-06-15,2007,6,6.02383346434015
"ssp126","Bottom",2007-07-16,2007,7,6.40751046657964
"ssp126","Bottom",2007-08-16,2007,8,6.58798856550011
"ssp126","Bottom",2007-09-15,2007,9,6.9489363208446
"ssp126","Bottom",2007-10-16,2007,10,7.46313647434986
"ssp126","Bottom",2007-11-15,2007,11,7.76621175062864
"ssp126","Bottom",2007-12-16,2007,12,7.16645233318302
"ssp126","Bottom",2008-01-16,2008,1,6.3803441561506
"ssp126","Bottom",2008-02-15,2008,2,5.44050451855617
"ssp126","Bottom",2008-03-16,2008,3,5.39053239635812
"ssp126","Bottom",2008-04-15,2008,4,5.49343121975276
"ssp126","Bottom",2008-05-16,2008,5,5.77368143718811
"ssp126","Bottom",2008-06-15,2008,6,5.9585457135443
"ssp126","Bottom",2008-07-16,2008,7,6.3357162508508
"ssp126","Bottom",2008-08-16,2008,8,6.92103573642194
"ssp126","Bottom",2008-09-15,2008,9,7.35751218814684
"ssp126","Bottom",2008-10-16,2008,10,7.70335255231427
"ssp126","Bottom",2008-11-15,2008,11,7.69964669868715
"ssp126","Bottom",2008-12-16,2008,12,7.26239356777538
"ssp126","Bottom",2009-01-16,2009,1,6.26068371124145
"ssp126","Bottom",2009-02-14,2009,2,5.92543668754619
"ssp126","Bottom",2009-03-16,2009,3,5.71433352455268
"ssp126","Bottom",2009-04-15,2009,4,5.58581470358822
"ssp126","Bottom",2009-05-16,2009,5,5.75055721842787
"ssp126","Bottom",2009-06-15,2009,6,6.02437714887324
"ssp126","Bottom",2009-07-16,2009,7,6.40967768797556
"ssp126","Bottom",2009-08-16,2009,8,6.65243984402391
"ssp126","Bottom",2009-09-15,2009,9,7.82816766446222
"ssp126","Bottom",2009-10-16,2009,10,8.01659117662858
"ssp126","Bottom",2009-11-15,2009,11,8.33208877470456
"ssp126","Bottom",2009-12-16,2009,12,7.69016720357914
"ssp126","Bottom",2010-01-16,2010,1,7.20802242355495
"ssp126","Bottom",2010-02-14,2010,2,6.83817039864091
"ssp126","Bottom",2010-03-16,2010,3,6.60324991795626
"ssp126","Bottom",2010-04-15,2010,4,6.54843800006372
"ssp126","Bottom",2010-05-16,2010,5,6.62500413959121
"ssp126","Bottom",2010-06-15,2010,6,6.86026547203795
"ssp126","Bottom",2010-07-16,2010,7,6.91286958002859
"ssp126","Bottom",2010-08-16,2010,8,6.7671096387944
"ssp126","Bottom",2010-09-15,2010,9,6.98508474355051
"ssp126","Bottom",2010-10-16,2010,10,8.21555569971063
"ssp126","Bottom",2010-11-15,2010,11,8.24128132596549
"ssp126","Bottom",2010-12-16,2010,12,7.37638570607087
"ssp126","Bottom",2011-01-16,2011,1,6.59605592402527
"ssp126","Bottom",2011-02-14,2011,2,6.12103067548528
"ssp126","Bottom",2011-03-16,2011,3,5.51888316224457
"ssp126","Bottom",2011-04-15,2011,4,5.41157295479498
"ssp126","Bottom",2011-05-16,2011,5,5.69700789465
"ssp126","Bottom",2011-06-15,2011,6,5.97254083720939
"ssp126","Bottom",2011-07-16,2011,7,6.45340189051919
"ssp126","Bottom",2011-08-16,2011,8,7.18402077658715
"ssp126","Bottom",2011-09-15,2011,9,8.20464406857697
"ssp126","Bottom",2011-10-16,2011,10,8.47399072680944
"ssp126","Bottom",2011-11-15,2011,11,7.94111028786339
"ssp126","Bottom",2011-12-16,2011,12,7.30588700830046
"ssp126","Bottom",2012-01-16,2012,1,6.77660026477405
"ssp126","Bottom",2012-02-15,2012,2,5.9743929068332
"ssp126","Bottom",2012-03-16,2012,3,5.84334632236933
"ssp126","Bottom",2012-04-15,2012,4,5.98861546196942
"ssp126","Bottom",2012-05-16,2012,5,6.26098839025534
"ssp126","Bottom",2012-06-15,2012,6,6.62114639555851
"ssp126","Bottom",2012-07-16,2012,7,6.94130180859552
"ssp126","Bottom",2012-08-16,2012,8,7.13413035223047
"ssp126","Bottom",2012-09-15,2012,9,7.59574116921037
"ssp126","Bottom",2012-10-16,2012,10,7.76276306268259
"ssp126","Bottom",2012-11-15,2012,11,7.79351472559598
"ssp126","Bottom",2012-12-16,2012,12,7.13452555140568
"ssp126","Bottom",2013-01-16,2013,1,6.66026242232293
"ssp126","Bottom",2013-02-14,2013,2,6.42404285193152
"ssp126","Bottom",2013-03-16,2013,3,6.19666047358947
"ssp126","Bottom",2013-04-15,2013,4,6.10584573596639
"ssp126","Bottom",2013-05-16,2013,5,6.22055364511301
"ssp126","Bottom",2013-06-15,2013,6,6.5025962571746
"ssp126","Bottom",2013-07-16,2013,7,6.71394153833149
"ssp126","Bottom",2013-08-16,2013,8,6.85736014070841
"ssp126","Bottom",2013-09-15,2013,9,7.73516057274861
"ssp126","Bottom",2013-10-16,2013,10,8.42071245174633
"ssp126","Bottom",2013-11-15,2013,11,8.02060215548773
"ssp126","Bottom",2013-12-16,2013,12,7.46876995886975
"ssp126","Bottom",2014-01-16,2014,1,7.17339862833436
"ssp126","Bottom",2014-02-14,2014,2,6.83344663120703
"ssp126","Bottom",2014-03-16,2014,3,6.50882470164316
"ssp126","Bottom",2014-04-15,2014,4,6.48592374331976
"ssp126","Bottom",2014-05-16,2014,5,6.65461035791784
"ssp126","Bottom",2014-06-15,2014,6,6.91617694543685
"ssp126","Bottom",2014-07-16,2014,7,7.19219179249615
"ssp126","Bottom",2014-08-16,2014,8,7.65807503929564
"ssp126","Bottom",2014-09-15,2014,9,7.91646342166337
"ssp126","Bottom",2014-10-16,2014,10,8.61382654717429
"ssp126","Bottom",2014-11-15,2014,11,8.81311914964971
"ssp126","Bottom",2014-12-16,2014,12,8.72943255527043
"ssp126","Bottom",2015-01-16,2015,1,8.15924594007702
"ssp126","Bottom",2015-02-14,2015,2,7.52053127089106
"ssp126","Bottom",2015-03-16,2015,3,7.10680048294672
"ssp126","Bottom",2015-04-15,2015,4,7.1755648417695
"ssp126","Bottom",2015-05-16,2015,5,7.06631730393618
"ssp126","Bottom",2015-06-15,2015,6,7.04378294668948
"ssp126","Bottom",2015-07-16,2015,7,7.19140395615119
"ssp126","Bottom",2015-08-16,2015,8,7.45804107384347
"ssp126","Bottom",2015-09-15,2015,9,7.85086000307076
"ssp126","Bottom",2015-10-16,2015,10,8.36518525917847
"ssp126","Bottom",2015-11-15,2015,11,8.1743674333668
"ssp126","Bottom",2015-12-16,2015,12,7.98404663235039
"ssp126","Bottom",2016-01-16,2016,1,7.74226213390288
"ssp126","Bottom",2016-02-15,2016,2,7.47075925135073
"ssp126","Bottom",2016-03-16,2016,3,7.29211194116491
"ssp126","Bottom",2016-04-15,2016,4,7.06961987804665
"ssp126","Bottom",2016-05-16,2016,5,7.07197340374829
"ssp126","Bottom",2016-06-15,2016,6,7.29511059035195
"ssp126","Bottom",2016-07-16,2016,7,7.45750697043069
"ssp126","Bottom",2016-08-16,2016,8,7.48858652558077
"ssp126","Bottom",2016-09-15,2016,9,7.63039333058556
"ssp126","Bottom",2016-10-16,2016,10,8.21740550947824
"ssp126","Bottom",2016-11-15,2016,11,9.06077128491972
"ssp126","Bottom",2016-12-16,2016,12,8.39497792545428
"ssp126","Bottom",2017-01-16,2017,1,7.50246625331722
"ssp126","Bottom",2017-02-14,2017,2,7.24150708893189
"ssp126","Bottom",2017-03-16,2017,3,6.68920749152271
"ssp126","Bottom",2017-04-15,2017,4,6.97865474672112
