"varname","simulation","year","month","biomass_tonnes_km2"
"Cop","ssp126",2002,6,63.8387105657087
"Cop","ssp126",2002,7,56.1649209155963
"Cop","ssp126",2002,8,35.1441386898653
"Cop","ssp126",2002,9,36.0408778083233
"Cop","ssp126",2002,10,30.9958907080288
"Cop","ssp126",2002,11,24.15073801713
"Cop","ssp126",2002,12,14.1548388278034
"Cop","ssp126",2003,1,7.80335347403497
"Cop","ssp126",2003,2,5.07008535398195
"Cop","ssp126",2003,3,12.3084146544663
"Cop","ssp126",2003,4,22.1728062094722
"Cop","ssp126",2003,5,36.6270847199876
"Cop","ssp126",2003,6,46.5356540707029
"Cop","ssp126",2003,7,40.2574190738812
"Cop","ssp126",2003,8,29.7984570312678
"Cop","ssp126",2003,9,31.3541028678637
"Cop","ssp126",2003,10,30.2154190508993
"Cop","ssp126",2003,11,18.9694194695372
"Cop","ssp126",2003,12,10.9339818283517
"Cop","ssp126",2004,1,6.64612289940303
"Cop","ssp126",2004,2,4.51149619071296
"Cop","ssp126",2004,3,19.5757909512318
"Cop","ssp126",2004,4,28.5573040350284
"Cop","ssp126",2004,5,39.5733751488093
"Cop","ssp126",2004,6,49.2429363160735
"Cop","ssp126",2004,7,40.2242453527797
"Cop","ssp126",2004,8,31.3372108494968
"Cop","ssp126",2004,9,24.8970290058562
"Cop","ssp126",2004,10,29.5845046336759
"Cop","ssp126",2004,11,20.0183064044713
"Cop","ssp126",2004,12,10.3605601503914
"Cop","ssp126",2005,1,5.15466470469999
"Cop","ssp126",2005,2,3.86110288132341
"Cop","ssp126",2005,3,16.7428803603685
"Cop","ssp126",2005,4,40.3718790086528
"Cop","ssp126",2005,5,54.6166979533865
"Cop","ssp126",2005,6,48.1985569847297
"Cop","ssp126",2005,7,39.5968015104159
"Cop","ssp126",2005,8,32.6174757864822
"Cop","ssp126",2005,9,29.2152992488129
"Cop","ssp126",2005,10,35.8497793373656
"Cop","ssp126",2005,11,23.4634695329962
"Cop","ssp126",2005,12,11.2025385280414
"Cop","ssp126",2006,1,5.85471976977197
"Cop","ssp126",2006,2,3.60992824944196
"Cop","ssp126",2006,3,16.7562241832399
"Cop","ssp126",2006,4,23.1203534023796
"Cop","ssp126",2006,5,32.0188222927806
"Cop","ssp126",2006,6,50.0097624750463
"Cop","ssp126",2006,7,47.616787380729
"Cop","ssp126",2006,8,33.8045967247301
"Cop","ssp126",2006,9,37.44461911928
"Cop","ssp126",2006,10,32.0931006948007
"Cop","ssp126",2006,11,22.8193214926174
"Cop","ssp126",2006,12,12.8910132166681
"Cop","ssp126",2007,1,6.39658944198754
"Cop","ssp126",2007,2,4.17582414510875
"Cop","ssp126",2007,3,6.30078809068872
"Cop","ssp126",2007,4,17.0400866526653
"Cop","ssp126",2007,5,41.6889465691137
"Cop","ssp126",2007,6,54.8595919590116
"Cop","ssp126",2007,7,64.0001889734106
"Cop","ssp126",2007,8,36.1525246888966
"Cop","ssp126",2007,9,27.2460933124975
"Cop","ssp126",2007,10,33.6318466458423
"Cop","ssp126",2007,11,26.1029438826843
"Cop","ssp126",2007,12,12.7290851981896
"Cop","ssp126",2008,1,7.01352309266985
"Cop","ssp126",2008,2,3.82105440152734
"Cop","ssp126",2008,3,11.1011720011417
"Cop","ssp126",2008,4,24.5807362680842
"Cop","ssp126",2008,5,43.726590063516
"Cop","ssp126",2008,6,61.8110290520415
"Cop","ssp126",2008,7,61.6321147976018
"Cop","ssp126",2008,8,44.8184053037707
"Cop","ssp126",2008,9,33.7120252932688
"Cop","ssp126",2008,10,33.6323442386478
"Cop","ssp126",2008,11,22.7077889835446
"Cop","ssp126",2008,12,11.4288906320169
"Cop","ssp126",2009,1,6.19644548392204
"Cop","ssp126",2009,2,6.03909818907532
"Cop","ssp126",2009,3,34.5301155107814
"Cop","ssp126",2009,4,29.4297957676448
"Cop","ssp126",2009,5,45.6992811086168
"Cop","ssp126",2009,6,50.3564432963577
"Cop","ssp126",2009,7,44.8245986050046
"Cop","ssp126",2009,8,33.6735621194258
"Cop","ssp126",2009,9,38.6175024907339
"Cop","ssp126",2009,10,35.4464167207749
"Cop","ssp126",2009,11,24.2001057542488
"Cop","ssp126",2009,12,12.0064056139448
"Cop","ssp126",2010,1,6.7452184960178
