"simulation","depthclass","year","annual_avg_temp"
"ssp245","Surface",1986,9.56044523372147
"ssp245","Surface",1987,8.8079361810144
"ssp245","Surface",1988,9.28260968606626
"ssp245","Surface",1989,8.4460658125505
"ssp245","Surface",1990,9.15072984925204
"ssp245","Surface",1991,8.56283824267375
"ssp245","Surface",1992,9.10353075202176
"ssp245","Surface",1993,9.11813292214344
"ssp245","Surface",1994,9.18248534768064
"ssp245","Surface",1995,9.24146778203217
"ssp245","Surface",1996,9.30600802526222
"ssp245","Surface",1997,10.0009429827476
"ssp245","Surface",1998,9.94037164164032
"ssp245","Surface",1999,9.20329575237461
"ssp245","Surface",2000,9.25512930046739
"ssp245","Surface",2001,9.25055475872321
"ssp245","Surface",2002,9.38487259659133
"ssp245","Surface",2003,10.1913249032822
"ssp245","Surface",2004,10.0668775452183
"ssp245","Surface",2005,10.3142985351705
"ssp245","Surface",2006,9.4033844550146
"ssp245","Surface",2007,9.12831336892569
"ssp245","Surface",2008,8.80681589595176
"ssp245","Surface",2009,9.22666458985697
"ssp245","Surface",2010,9.72528938172089
"ssp245","Surface",2011,9.12449867605087
"ssp245","Surface",2012,8.94350794651889
"ssp245","Surface",2013,9.71001147520123
"ssp245","Surface",2014,10.1969939193451
"ssp245","Surface",2015,10.6030767446715
"ssp245","Surface",2016,10.7897175450261
"ssp245","Surface",2017,10.1529583034614
"ssp245","Surface",2018,10.0816012880299
"ssp245","Surface",2019,10.5531712823664
"ssp245","Surface",2020,9.79676295888125
"ssp245","Surface",2021,9.49168800248539
"ssp245","Surface",2022,10.8992676403775
"ssp245","Surface",2023,9.79066155674333
"ssp245","Surface",2024,10.370650017703
"ssp245","Surface",2025,9.55427915265525
"ssp245","Surface",2026,10.6081386509419
"ssp245","Surface",2027,10.0640633216957
"ssp245","Surface",2028,10.6155760087228
"ssp245","Surface",2029,10.2880171134933
"ssp245","Surface",2030,10.3186946082152
"ssp245","Surface",2031,9.621460297621
"ssp245","Surface",2032,10.4919884699507
"ssp245","Surface",2033,10.465275578516
"ssp245","Surface",2034,10.4033770045044
"ssp245","Surface",2035,10.6059582211542
"ssp245","Surface",2036,10.6654254761467
"ssp245","Surface",2037,10.6984975810568
"ssp245","Surface",2038,10.7383943305431
"ssp245","Surface",2039,10.5579107304735
"ssp245","Surface",2040,11.0924427980991
"ssp245","Surface",2041,11.2075340765161
"ssp245","Surface",2042,10.5842275185163
"ssp245","Surface",2043,10.5770403204898
"ssp245","Surface",2044,10.8821916833675
"ssp245","Surface",2045,10.6079395470246
"ssp245","Surface",2046,10.4801006354118
"ssp245","Surface",2047,11.4111696172129
"ssp245","Surface",2048,10.6388414349181
"ssp245","Surface",2049,11.3072646863604
"ssp245","Surface",2050,10.2930835044095
"ssp245","Surface",2051,10.2100637103979
"ssp245","Surface",2052,10.9979007681327
"ssp245","Surface",2053,11.3139827285044
"ssp245","Surface",2054,10.9621260552708
"ssp245","Surface",2055,11.0486628315748
"ssp245","Surface",2056,10.9767873242451
"ssp245","Surface",2057,11.4152004534562
"ssp245","Surface",2058,10.9207078003363
"ssp245","Surface",2059,10.5704357295025
"ssp245","Surface",2060,11.7791509428266
"ssp245","Surface",2061,11.4151695299981
"ssp245","Surface",2062,11.4158367643953
"ssp245","Surface",2063,10.8296797603088
"ssp245","Surface",2064,11.4183329210702
"ssp245","Surface",2065,10.4964097000396
"ssp245","Surface",2066,10.2571081479208
"ssp245","Surface",2067,10.4358426809684
