"varname","simulation","year","month","prod_biom_month"
"prod_PhL","ssp126",2006,5,30.2586467495001
"prod_PhL","ssp126",2006,6,29.203700467989
"prod_PhL","ssp126",2006,7,25.2887547729574
"prod_PhL","ssp126",2006,8,28.1394476181249
"prod_PhL","ssp126",2006,9,27.4169224812497
"prod_PhL","ssp126",2006,10,13.0692033085132
"prod_PhL","ssp126",2006,11,4.35376681984595
"prod_PhL","ssp126",2006,12,0.992025811615474
"prod_PhL","ssp126",2007,1,1.1784858137077
"prod_PhL","ssp126",2007,2,3.11715597360633
"prod_PhL","ssp126",2007,3,7.87553609672656
"prod_PhL","ssp126",2007,4,13.2768670339569
"prod_PhL","ssp126",2007,5,34.3438233541656
"prod_PhL","ssp126",2007,6,35.6925228308968
"prod_PhL","ssp126",2007,7,29.3148612670686
"prod_PhL","ssp126",2007,8,26.9569846259983
"prod_PhL","ssp126",2007,9,24.8826236688763
"prod_PhL","ssp126",2007,10,13.8400981330571
"prod_PhL","ssp126",2007,11,3.29048063135972
"prod_PhL","ssp126",2007,12,0.938773219000902
"prod_PhL","ssp126",2008,1,1.17386259017273
"prod_PhL","ssp126",2008,2,2.98853543153657
"prod_PhL","ssp126",2008,3,8.79093780034925
"prod_PhL","ssp126",2008,4,22.4843919197575
"prod_PhL","ssp126",2008,5,26.5212669976166
"prod_PhL","ssp126",2008,6,31.8193366395996
"prod_PhL","ssp126",2008,7,30.9436414553256
"prod_PhL","ssp126",2008,8,27.7208481912051
"prod_PhL","ssp126",2008,9,21.7281555004475
"prod_PhL","ssp126",2008,10,15.1089160734852
"prod_PhL","ssp126",2008,11,3.68068267964868
"prod_PhL","ssp126",2008,12,0.722815061750913
"prod_PhL","ssp126",2009,1,1.18364081074105
"prod_PhL","ssp126",2009,2,3.59597747069051
"prod_PhL","ssp126",2009,3,8.73066293718043
"prod_PhL","ssp126",2009,4,17.187293012237
"prod_PhL","ssp126",2009,5,39.479459929247
"prod_PhL","ssp126",2009,6,26.9984257744564
"prod_PhL","ssp126",2009,7,22.8164400354052
"prod_PhL","ssp126",2009,8,31.0360205803274
"prod_PhL","ssp126",2009,9,21.801269230588
"prod_PhL","ssp126",2009,10,10.6604967697641
"prod_PhL","ssp126",2009,11,3.29556869280315
"prod_PhL","ssp126",2009,12,0.595928892099985
"prod_PhL","ssp126",2010,1,1.22975880758368
"prod_PhL","ssp126",2010,2,3.25944341205413
"prod_PhL","ssp126",2010,3,8.80154936657186
"prod_PhL","ssp126",2010,4,19.078513712653
"prod_PhL","ssp126",2010,5,32.7868451133823
"prod_PhL","ssp126",2010,6,33.9463474182116
"prod_PhL","ssp126",2010,7,28.2097417755923
"prod_PhL","ssp126",2010,8,32.0832736052932
"prod_PhL","ssp126",2010,9,25.1780242586452
"prod_PhL","ssp126",2010,10,14.4898560577887
"prod_PhL","ssp126",2010,11,3.45221458516064
"prod_PhL","ssp126",2010,12,1.21141837159847
"prod_PhL","ssp126",2011,1,-0.244779458293826
"prod_PhL","ssp126",2011,2,0.260818143656976
"prod_PhL","ssp126",2011,3,7.62982842098646
"prod_PhL","ssp126",2011,4,19.1391799894597
"prod_PhL","ssp126",2011,5,23.4156652648586
"prod_PhL","ssp126",2011,6,26.9751368994172
"prod_PhL","ssp126",2011,7,30.2404723589928
"prod_PhL","ssp126",2011,8,30.1896936096755
"prod_PhL","ssp126",2011,9,23.4093006192108
"prod_PhL","ssp126",2011,10,12.11386855134
"prod_PhL","ssp126",2011,11,3.68459549152622
"prod_PhL","ssp126",2011,12,1.01723362687039
"prod_PhL","ssp126",2012,1,1.42141227780654
"prod_PhL","ssp126",2012,2,2.61444053701017
"prod_PhL","ssp126",2012,3,8.64844505173172
"prod_PhL","ssp126",2012,4,18.8798594730741
"prod_PhL","ssp126",2012,5,28.1133517634894
"prod_PhL","ssp126",2012,6,31.4869201377422
"prod_PhL","ssp126",2012,7,29.9528142356695
"prod_PhL","ssp126",2012,8,28.9109505100662
"prod_PhL","ssp126",2012,9,27.6306550358877
"prod_PhL","ssp126",2012,10,10.472791694886
"prod_PhL","ssp126",2012,11,2.93570737824535
"prod_PhL","ssp126",2012,12,1.05081414717223
