"simulation","depthclass","date","year","month","area_weighted_temp"
"ssp126","Bottom",2001-09-15,2001,9,8.15088038296536
"ssp126","Bottom",2001-10-16,2001,10,8.08337179534357
"ssp126","Bottom",2001-11-15,2001,11,6.88194093478421
"ssp126","Bottom",2001-12-16,2001,12,5.50884958042418
"ssp126","Bottom",2002-01-16,2002,1,4.71134904658245
"ssp126","Bottom",2002-02-14,2002,2,4.08430317180219
"ssp126","Bottom",2002-03-16,2002,3,3.80635324431095
"ssp126","Bottom",2002-04-15,2002,4,4.14219873633781
"ssp126","Bottom",2002-05-16,2002,5,4.93159303007271
"ssp126","Bottom",2002-06-15,2002,6,6.08308625984256
"ssp126","Bottom",2002-07-16,2002,7,6.9372840416771
"ssp126","Bottom",2002-08-16,2002,8,7.42055369562185
"ssp126","Bottom",2002-09-15,2002,9,7.54147552570838
"ssp126","Bottom",2002-10-16,2002,10,7.58594922767808
"ssp126","Bottom",2002-11-15,2002,11,7.69727172545534
"ssp126","Bottom",2002-12-16,2002,12,7.10260019441413
"ssp126","Bottom",2003-01-16,2003,1,6.05300341504738
"ssp126","Bottom",2003-02-14,2003,2,5.90246559605092
"ssp126","Bottom",2003-03-16,2003,3,5.49230049096359
"ssp126","Bottom",2003-04-15,2003,4,5.32550499105248
"ssp126","Bottom",2003-05-16,2003,5,6.08592917922697
"ssp126","Bottom",2003-06-15,2003,6,7.09960186218935
"ssp126","Bottom",2003-07-16,2003,7,7.73093196591364
"ssp126","Bottom",2003-08-16,2003,8,8.08770192790558
"ssp126","Bottom",2003-09-15,2003,9,8.4742997049496
"ssp126","Bottom",2003-10-16,2003,10,8.80949387287414
"ssp126","Bottom",2003-11-15,2003,11,7.8663071428561
"ssp126","Bottom",2003-12-16,2003,12,6.22474107644707
"ssp126","Bottom",2004-01-16,2004,1,4.89086434618681
"ssp126","Bottom",2004-02-15,2004,2,4.37585534396132
"ssp126","Bottom",2004-03-16,2004,3,4.30990042095813
"ssp126","Bottom",2004-04-15,2004,4,4.28271262317051
"ssp126","Bottom",2004-05-16,2004,5,5.22677386279381
"ssp126","Bottom",2004-06-15,2004,6,6.23007410906907
"ssp126","Bottom",2004-07-16,2004,7,7.10110351660688
"ssp126","Bottom",2004-08-16,2004,8,7.7559898347054
"ssp126","Bottom",2004-09-15,2004,9,7.92685361503606
"ssp126","Bottom",2004-10-16,2004,10,7.70363579264233
"ssp126","Bottom",2004-11-15,2004,11,6.76932193814461
"ssp126","Bottom",2004-12-16,2004,12,6.11783593429202
"ssp126","Bottom",2005-01-16,2005,1,5.35285997800906
"ssp126","Bottom",2005-02-14,2005,2,4.74318081146717
"ssp126","Bottom",2005-03-16,2005,3,4.71458767616416
"ssp126","Bottom",2005-04-15,2005,4,4.86385546838137
"ssp126","Bottom",2005-05-16,2005,5,5.74936877944342
"ssp126","Bottom",2005-06-15,2005,6,6.78692965231187
"ssp126","Bottom",2005-07-16,2005,7,7.53343455597425
"ssp126","Bottom",2005-08-16,2005,8,8.17736171049606
"ssp126","Bottom",2005-09-15,2005,9,8.14386525356175
"ssp126","Bottom",2005-10-16,2005,10,8.17713564597005
"ssp126","Bottom",2005-11-15,2005,11,7.16853507234018
"ssp126","Bottom",2005-12-16,2005,12,6.0185615508888
"ssp126","Bottom",2006-01-16,2006,1,5.46903967981097
"ssp126","Bottom",2006-02-14,2006,2,4.22192833816437
"ssp126","Bottom",2006-03-16,2006,3,3.90849427663903
"ssp126","Bottom",2006-04-15,2006,4,4.26182532434265
"ssp126","Bottom",2006-05-16,2006,5,5.03948167875948
"ssp126","Bottom",2006-06-15,2006,6,6.13426848766044
"ssp126","Bottom",2006-07-16,2006,7,7.14727286882473
"ssp126","Bottom",2006-08-16,2006,8,7.81238932053738
"ssp126","Bottom",2006-09-15,2006,9,8.27105033156111
"ssp126","Bottom",2006-10-16,2006,10,8.06265150613525
"ssp126","Bottom",2006-11-15,2006,11,6.83009405585969
"ssp126","Bottom",2006-12-16,2006,12,5.48116670690821
"ssp126","Bottom",2007-01-16,2007,1,4.04921431301339
"ssp126","Bottom",2007-02-14,2007,2,3.77457008263166
"ssp126","Bottom",2007-03-16,2007,3,2.84002608667465
"ssp126","Bottom",2007-04-15,2007,4,3.00405838139995
"ssp126","Bottom",2007-05-16,2007,5,4.182920607396
"ssp126","Bottom",2007-06-15,2007,6,5.35266376425491
"ssp126","Bottom",2007-07-16,2007,7,6.2620415465892
"ssp126","Bottom",2007-08-16,2007,8,6.99716635733237
"ssp126","Bottom",2007-09-15,2007,9,7.47532390320385
"ssp126","Bottom",2007-10-16,2007,10,7.19360075346569
"ssp126","Bottom",2007-11-15,2007,11,6.71960971205181
"ssp126","Bottom",2007-12-16,2007,12,5.96511473734903
"ssp126","Bottom",2008-01-16,2008,1,4.39724766937405
"ssp126","Bottom",2008-02-15,2008,2,3.55836423589252
"ssp126","Bottom",2008-03-16,2008,3,3.46261948632149
"ssp126","Bottom",2008-04-15,2008,4,3.69627040623132
"ssp126","Bottom",2008-05-16,2008,5,4.54479388149637
"ssp126","Bottom",2008-06-15,2008,6,5.6374393725242
"ssp126","Bottom",2008-07-16,2008,7,6.50719100656559
"ssp126","Bottom",2008-08-16,2008,8,7.28281767311943
"ssp126","Bottom",2008-09-15,2008,9,7.9771287016196
"ssp126","Bottom",2008-10-16,2008,10,7.74193633314904
"ssp126","Bottom",2008-11-15,2008,11,6.8924344557069
"ssp126","Bottom",2008-12-16,2008,12,5.82050566691982
"ssp126","Bottom",2009-01-16,2009,1,4.39141115661134
"ssp126","Bottom",2009-02-14,2009,2,3.73063221610747
"ssp126","Bottom",2009-03-16,2009,3,3.4113921635366
"ssp126","Bottom",2009-04-15,2009,4,3.46137565216734
"ssp126","Bottom",2009-05-16,2009,5,4.4285512514967
"ssp126","Bottom",2009-06-15,2009,6,5.50891878752416
"ssp126","Bottom",2009-07-16,2009,7,6.42908601086675
"ssp126","Bottom",2009-08-16,2009,8,7.07681420003842
"ssp126","Bottom",2009-09-15,2009,9,7.82119905327767
"ssp126","Bottom",2009-10-16,2009,10,8.26372260964572
"ssp126","Bottom",2009-11-15,2009,11,7.29471128531136
"ssp126","Bottom",2009-12-16,2009,12,6.05642605291259
"ssp126","Bottom",2010-01-16,2010,1,5.39935000207499
"ssp126","Bottom",2010-02-14,2010,2,4.88577119959466
"ssp126","Bottom",2010-03-16,2010,3,4.33932765429355
"ssp126","Bottom",2010-04-15,2010,4,4.5183685029276
"ssp126","Bottom",2010-05-16,2010,5,5.39239282429803
"ssp126","Bottom",2010-06-15,2010,6,6.59781778155989
"ssp126","Bottom",2010-07-16,2010,7,7.31695239034517
"ssp126","Bottom",2010-08-16,2010,8,7.61330166866469
"ssp126","Bottom",2010-09-15,2010,9,7.80289167756288
"ssp126","Bottom",2010-10-16,2010,10,7.99027012776175
"ssp126","Bottom",2010-11-15,2010,11,7.41864667948892
"ssp126","Bottom",2010-12-16,2010,12,5.79824027852557
"ssp126","Bottom",2011-01-16,2011,1,4.64495002069166
"ssp126","Bottom",2011-02-14,2011,2,4.03179833069004
"ssp126","Bottom",2011-03-16,2011,3,3.43534072040499
"ssp126","Bottom",2011-04-15,2011,4,3.85602213202898
"ssp126","Bottom",2011-05-16,2011,5,4.75700615446177
"ssp126","Bottom",2011-06-15,2011,6,5.79264436942261
"ssp126","Bottom",2011-07-16,2011,7,6.53037402222985
"ssp126","Bottom",2011-08-16,2011,8,7.12507177296503
"ssp126","Bottom",2011-09-15,2011,9,8.19759902344732
"ssp126","Bottom",2011-10-16,2011,10,8.43709821756853
"ssp126","Bottom",2011-11-15,2011,11,7.08434338393752
"ssp126","Bottom",2011-12-16,2011,12,5.74894346237565
"ssp126","Bottom",2012-01-16,2012,1,4.05749278386559
"ssp126","Bottom",2012-02-15,2012,2,3.21443531665437
"ssp126","Bottom",2012-03-16,2012,3,2.87341681029865
"ssp126","Bottom",2012-04-15,2012,4,3.26567325374704
"ssp126","Bottom",2012-05-16,2012,5,4.41419860385396
"ssp126","Bottom",2012-06-15,2012,6,5.68477114816194
"ssp126","Bottom",2012-07-16,2012,7,6.61802773658888
"ssp126","Bottom",2012-08-16,2012,8,7.35064538023782
"ssp126","Bottom",2012-09-15,2012,9,7.68710778850099
"ssp126","Bottom",2012-10-16,2012,10,7.78046803266505
"ssp126","Bottom",2012-11-15,2012,11,6.82204999740965
"ssp126","Bottom",2012-12-16,2012,12,5.33853042289992
"ssp126","Bottom",2013-01-16,2013,1,4.67391062592583
"ssp126","Bottom",2013-02-14,2013,2,4.37354248077607
"ssp126","Bottom",2013-03-16,2013,3,4.15086661797238
"ssp126","Bottom",2013-04-15,2013,4,4.23962388079998
"ssp126","Bottom",2013-05-16,2013,5,5.06753518615004
"ssp126","Bottom",2013-06-15,2013,6,6.24032152171958
"ssp126","Bottom",2013-07-16,2013,7,7.0199552942146
"ssp126","Bottom",2013-08-16,2013,8,7.65329445234472
"ssp126","Bottom",2013-09-15,2013,9,7.99920931445752
"ssp126","Bottom",2013-10-16,2013,10,7.95005287563655
"ssp126","Bottom",2013-11-15,2013,11,7.4413656561869
"ssp126","Bottom",2013-12-16,2013,12,6.23248585380008
"ssp126","Bottom",2014-01-16,2014,1,5.5780804449604
"ssp126","Bottom",2014-02-14,2014,2,5.1150523515975
"ssp126","Bottom",2014-03-16,2014,3,4.6919998936007
"ssp126","Bottom",2014-04-15,2014,4,5.02571797679245
"ssp126","Bottom",2014-05-16,2014,5,5.97661563695789
"ssp126","Bottom",2014-06-15,2014,6,6.8795515457605
"ssp126","Bottom",2014-07-16,2014,7,7.67091209668055
"ssp126","Bottom",2014-08-16,2014,8,8.39719422213044
"ssp126","Bottom",2014-09-15,2014,9,8.73877097697513
"ssp126","Bottom",2014-10-16,2014,10,8.84086150364052
"ssp126","Bottom",2014-11-15,2014,11,8.29599749420148
"ssp126","Bottom",2014-12-16,2014,12,7.70816522960511
"ssp126","Bottom",2015-01-16,2015,1,6.95317043014989
"ssp126","Bottom",2015-02-14,2015,2,6.05463537319712
"ssp126","Bottom",2015-03-16,2015,3,5.67553854684906
"ssp126","Bottom",2015-04-15,2015,4,5.83946543083627
"ssp126","Bottom",2015-05-16,2015,5,6.44005479048145
"ssp126","Bottom",2015-06-15,2015,6,7.11784691184105
"ssp126","Bottom",2015-07-16,2015,7,7.88898687352665
"ssp126","Bottom",2015-08-16,2015,8,8.29949169391154
"ssp126","Bottom",2015-09-15,2015,9,8.32818748768171
"ssp126","Bottom",2015-10-16,2015,10,8.41736910894282
"ssp126","Bottom",2015-11-15,2015,11,7.70487425967413
"ssp126","Bottom",2015-12-16,2015,12,6.81821644218696
"ssp126","Bottom",2016-01-16,2016,1,6.2785112872449
"ssp126","Bottom",2016-02-15,2016,2,6.00373667121054
"ssp126","Bottom",2016-03-16,2016,3,5.89057367872135
"ssp126","Bottom",2016-04-15,2016,4,6.24705304276634
"ssp126","Bottom",2016-05-16,2016,5,6.9716300335386
"ssp126","Bottom",2016-06-15,2016,6,7.71303130017219
"ssp126","Bottom",2016-07-16,2016,7,8.36280710899331
"ssp126","Bottom",2016-08-16,2016,8,8.69466024598545
"ssp126","Bottom",2016-09-15,2016,9,8.79779234879908
"ssp126","Bottom",2016-10-16,2016,10,8.91015667832735
"ssp126","Bottom",2016-11-15,2016,11,8.44950791501744
"ssp126","Bottom",2016-12-16,2016,12,7.12831627332399
"ssp126","Bottom",2017-01-16,2017,1,5.92291872932728
"ssp126","Bottom",2017-02-14,2017,2,5.05257076489328
"ssp126","Bottom",2017-03-16,2017,3,4.29164384525223
"ssp126","Bottom",2017-04-15,2017,4,4.49860000224504
