tstep,phl_ssp126,phl_ssp245,phl_ssp585,phs_ssp126,phs_ssp245,phs_ssp585
898,0.910027517,0.485564087,0.9476449,1.03686851,0.930902152,1.214298949
899,0.239566399,0.20647367,0.195494092,0.357619503,0.357984973,0.368797377
900,0.06611411,0.036399606,0.038951963,0.128423758,0.074306944,0.089652543
901,0.068781767,0.045974062,0.043753662,0.110031048,0.094822456,0.087748594
902,0.2338559,0.145705658,0.197509008,0.358477673,0.306631656,0.359016003
903,0.52553277,0.427862316,0.43735272,0.748993966,0.73114167,0.78529242
904,1.490699629,1.061754116,1.382771725,1.467370647,1.472513142,1.572962983
905,1.487467302,1.575194455,1.281726081,1.95262767,1.930072333,2.05730619
906,1.773937688,1.41698071,1.231138478,2.193171815,1.950536378,2.080599027
907,1.855667439,1.307274367,1.262242097,2.251041267,1.938257388,2.008839568
908,1.346529349,1.299948018,1.369832679,1.759978259,1.812354869,1.904691306
909,1.700066157,1.486638522,1.134892761,1.897220109,1.827152738,1.563440305
910,0.680249699,0.551385028,0.682552008,1.012437176,0.997053175,1.044026402
911,0.200304885,0.122512948,0.136206992,0.368134141,0.263858451,0.268433706
912,0.040464459,0.042035922,0.067129589,0.09266893,0.097294532,0.131205168
913,0.053707856,0.038969935,0.060650719,0.097245362,0.076835644,0.109118614
914,0.192810994,0.239470561,0.18350601,0.32880184,0.452391588,0.367319015
915,0.761067955,0.420614923,0.429310077,1.153354376,0.809414182,0.769826499
916,0.907025582,0.901005139,1.922745469,1.477745459,1.372590282,1.558041314
917,1.53560642,1.411819803,1.526712189,2.056407252,1.93625161,1.728556887
918,1.340298527,1.22020196,1.332776143,2.110323887,2.036884827,2.115196306
919,1.560638383,1.218671351,1.24944333,2.004138477,1.946243714,2.071708896
920,1.617618902,1.189543613,1.36886006,1.86121929,1.762195973,1.887096568
921,1.534159776,1.1497919,1.333716098,1.723455195,1.57767189,1.697248259
922,1.039277148,0.705230803,0.59964643,1.160482988,1.088571139,0.976450552
923,0.211515561,0.134561703,0.228206958,0.337209367,0.299917215,0.380989655
924,0.075181333,0.042223439,0.043570369,0.144768891,0.0927471,0.096804922
925,0.06934027,0.044279787,0.039417946,0.130576614,0.08708094,0.077485915
926,0.162799056,0.207619086,0.135952523,0.28608388,0.409507521,0.254545351
927,0.889525925,0.417473882,0.647452045,0.908120704,0.723770537,0.892079316
928,1.083229778,0.806283729,1.527017426,1.498553978,1.362077265,1.687973482
929,1.592512841,1.109049423,1.50962006,1.806100586,1.966846908,1.977910286
930,1.719894358,1.228803783,1.455176127,2.070597592,2.172398344,2.049574077
931,1.740690819,1.065400986,1.270519686,1.980267814,1.951248233,1.800430543
932,1.638937606,1.362600575,1.526211184,1.85154201,1.930204266,1.871567307
933,1.69975151,1.245979782,1.433654966,1.743130741,1.65724533,1.698693233
934,0.95298818,0.790006533,0.659286729,1.149523002,1.106146644,1.009666959
935,0.204852343,0.06688858,0.17738451,0.331543168,0.201299119,0.287580174
936,0.072065045,0.046687116,0.038965374,0.127227639,0.095706195,0.087733139
937,0.057298846,0.066945278,0.061377053,0.102768741,0.123395883,0.110264692
938,0.277951467,0.117607922,0.135807021,0.419287939,0.256860532,0.280596548
939,0.668179375,0.373818012,0.45989358,0.92628762,0.592197561,0.840549745
940,1.397025027,0.882794489,1.738525977,1.799499028,1.40326555,1.399617028
941,1.762093481,1.257614977,1.075474928,2.057931044,1.917833271,1.758242474
942,2.062749748,1.341409097,1.634775587,2.115431465,2.113877525,2.286585039
943,2.016707377,1.262470804,1.303297831,2.078730956,2.038575123,2.026985122
944,1.642862762,1.201581271,1.248100413,1.804011234,1.765204541,1.72046791
945,1.540245059,0.986774035,1.289398984,1.675851012,1.457244457,1.598847612
946,0.694200457,0.670931898,0.636262421,1.004174886,1.039957551,1.002271283
947,0.285139666,0.166866945,0.244964476,0.426870585,0.308548282,0.358707503
948,0.057941035,0.043758286,0.067955097,0.10708316,0.091440974,0.125237644
949,0.09012848,0.062968296,0.044133541,0.151556052,0.12128526,0.086974439
950,0.252649935,0.113901877,0.145829848,0.411843457,0.237622435,0.28329024
951,0.751876547,0.398972712,0.661047877,0.909627046,0.713714092,0.78590241
952,1.408362849,1.121586306,1.192904523,1.323028665,1.364963082,1.414685359
953,1.737679481,1.347055759,1.415121289,2.101298375,1.705741699,2.038189968
