"","tstep","year","month","prod_PhL","prod_PhS"
"400",400,2013,4,19.8150757408437,28.0323148651162
"401",401,2013,5,23.8678101359225,36.4333684653356
"402",402,2013,6,26.1432262503092,41.6472218227055
"403",403,2013,7,28.6864071490214,41.0318598003141
"404",404,2013,8,26.0591362042683,36.2172907905525
"405",405,2013,9,29.2621595295244,35.1699153526028
"406",406,2013,10,11.8122556276244,17.6615338551772
"407",407,2013,11,4.70670416875874,7.54640091428986
"408",408,2013,12,0.758418545264241,1.56720408076989
"409",409,2014,1,1.0622101318216,1.986732648882
"410",410,2014,2,3.68074930474386,6.12079487737497
"411",411,2014,3,13.6585655967248,16.3268936444789
"412",412,2014,4,24.5295384224854,30.589083780459
"413",413,2014,5,38.5947910521083,41.7485561480224
"414",414,2014,6,28.7507592088599,43.473167584488
"415",415,2014,7,27.887243226747,43.1811216298858
"416",416,2014,8,27.3392231804634,40.0147432239416
"417",417,2014,9,27.7362565579818,35.8864886747819
"418",418,2014,10,11.3920387726222,21.2881328774055
"419",419,2014,11,2.91194945438963,5.97128525493446
"420",420,2014,12,0.971842789225022,2.02885725820904
"421",421,2015,1,1.44620291229191,2.60319313058286
"422",422,2015,2,3.41751151734347,6.33985895582014
"423",423,2015,3,11.397382841988,16.0257164302152
"424",424,2015,4,19.3504696524224,28.3056758933246
"425",425,2015,5,21.4544926920567,33.8430787070822
"426",426,2015,6,27.5666374345014,43.3605097575349
"427",427,2015,7,24.4717691118183,40.6307209793956
"428",428,2015,8,26.4613290312758,39.9630992422024
"429",429,2015,9,26.6772179654915,35.5851109062219
"430",430,2015,10,10.8490238944619,19.7927428710698
"431",431,2015,11,3.20466677597151,6.84174487140927
"432",432,2015,12,0.8469607331692,1.95639109275746
"433",433,2016,1,1.15526349752083,2.16270677704956
"434",434,2016,2,3.99415320812944,6.83665318297119
"435",435,2016,3,13.6903923275954,17.7974662715783
"436",436,2016,4,23.9856273322686,29.0531038440175
"437",437,2016,5,26.9608989878214,39.407213278884
"438",438,2016,6,28.0450613209915,44.7338787552009
"439",439,2016,7,29.6145630636158,44.6003137869516
"440",440,2016,8,29.2285347533723,39.4029247550852
"441",441,2016,9,29.296840894245,37.8629494266391
"442",442,2016,10,11.7552259552755,20.9704876137948
"443",443,2016,11,3.71947401478282,7.66197801031744
"444",444,2016,12,1.11057677679532,2.4508342545212
"445",445,2017,1,1.35657371458721,2.96708740515155
"446",446,2017,2,3.96523106398438,8.58455327700221
"447",447,2017,3,9.65578827134266,16.9982102105479
"448",448,2017,4,17.0757848334298,26.3056864351927
"449",449,2017,5,28.192236447256,38.8269574091474
"450",450,2017,6,25.4502816807078,41.1647673748948
"451",451,2017,7,25.2543133886755,40.262064627086
"452",452,2017,8,23.5595570861136,35.8675444655305
"453",453,2017,9,24.4921769681021,32.2874923699398
"454",454,2017,10,14.1418247315353,21.193943110246
"455",455,2017,11,4.60505240308147,8.51636275949967
"456",456,2017,12,0.731422171228965,1.76105526921382
"457",457,2018,1,1.27298687424067,2.40341220934789
"458",458,2018,2,3.39077922289168,6.42880527501181
"459",459,2018,3,11.8708215378801,18.496890950566
"460",460,2018,4,19.1068470215493,29.5443252276085
"461",461,2018,5,26.1097796952166,37.4679056841144
"462",462,2018,6,25.8794421354034,39.2153673454041
"463",463,2018,7,24.7117960478752,35.6526734748853
"464",464,2018,8,35.6896070779902,41.3686345259102
"465",465,2018,9,25.6022650019918,33.7083489254457
"466",466,2018,10,16.1757482796934,23.9992943132335
"467",467,2018,11,3.69922012279204,7.08418838943232
"468",468,2018,12,1.12405385698507,2.19502061716334
"469",469,2019,1,1.07693483482672,2.15027394280897
"470",470,2019,2,3.92270498340191,7.08809933256402
"471",471,2019,3,13.4364648877228,17.7484276598661
"472",472,2019,4,30.6322821002016,30.3611136121466
"473",473,2019,5,25.3915113693834,39.0738388714623
"474",474,2019,6,29.1628101282151,43.7252661102156
"475",475,2019,7,27.702507291258,41.1582388660527
"476",476,2019,8,31.9961541628086,39.168198915065
"477",477,2019,9,32.3170386378603,36.5987581643436
"478",478,2019,10,15.9259448302015,23.2051100506688
"479",479,2019,11,2.73101391518764,5.64333635124444
"480",480,2019,12,1.08094639158504,2.08946232488496
