"e.bal.Group","e.bal.TL","e.bal.Biomass","e.bal.PB","e.bal.QB","e.bal.EE","e.bal.GE","w.bal.TL","w.bal.Biomass","w.bal.PB","w.bal.QB","w.bal.EE","w.bal.GE"
"gelatinous_carnivores",3.60332632742177,13.1700288406885,2.59,11.91,0.8,0.217464315701092,3.4337641078298,1.09040280151422,2.59,11.91,0.8,0.217464315701092
"other_gelatinous_zooplankton",2.87810731938702,9.32782600246671,4.68,14.48,0.8,0.323204419889503,2.4941,4.63941040423052,4.68,14.48,0.8,0.323204419889503
"mysids",2.688700220696,3.11996529825727,5.48,15.64,0.8,0.350383631713555,2.4941,1.0194261191563,5.475,15.6428571428571,0.8,0.35
"pelagic_amphipods",2.688700220696,20.3613271576109,2.5,7.14,0.8,0.350140056022409,2.4941,7.11011507909761,2.5,7.14285714285714,0.8,0.35
"euphausiids",2.73606389,65.8279762917935,5.48,15.64,0.8,0.350383631713555,2.6169412,55.1360777590338,5.475,15.6428571428571,0.8,0.35
"large_copepods",2.61105556,34.1681939207467,6,17.14,0.8,0.350058343057176,2.3764,14.9495772920979,6,17.1428571428571,0.8,0.35
"small_copepods",2.61105556,99.2477899057205,6,17.14,0.8,0.350058343057176,2.3764,60.5675397994095,6,17.1428571428571,0.8,0.35
"large_microzooplankton",2.3332,37.4013612523036,36.5,104.286,0.8,0.349999041098518,2.2,14.0158438281368,36.5,104.285714285714,0.8,0.35
"small_microzooplankton",2,57.6684473440847,36.5,104.286,0.8,0.349999041098518,2,15.6338574919876,36.5,104.285714285714,0.8,0.35
"large_phytoplankton",1,16.3232172795223,166.48,0,0.975,0,1,10.3916708459267,166.481,0,0.975,0
"small_phytoplankton",1,70.4442996137884,113.378,0,0.975,0,1,22.7611326798655,113.378,0,0.975,0
"macroalgae",1,4.05621501293493,4,0,0.4,0,1,1.17291636496469,4,0,0.8,0
"benthic_microbes",2,14.4309494851365,36.5,104.285714285714,0.8,0.35,2,10.9361063638401,36.5,104.285714285714,0.8,0.35
"discards",1,0.050901018898,1,0,0.506836931542671,0,1,0.374998081279012,1,0,0.10652271798401,0
"offal",1,0.017841322402,1,0,0.582063127132029,0,1,0.692414503799929,1,0,0.960237657506376,0
"pelagic_detritus",1,3512.55288853182,1,0,2.84078159385973e-07,0,1,827.25447828652,1,0,2.47857127089476e-06,0
"benthic_detritus",1,1285.60909152425,1,0,2.09588709082907,0,1,1492.15648036187,1,0,1.3274384429329,0
"cod_jig_federal",5.18700770469015,0,0,0,0,0,5.0447816389284,0,0,0,0,0
"groundfish_jig",5.76440025670572,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"cod_pot_federal",4.92540836802405,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"sablefish_pot_federal",4.62280680408981,0,0,0,0,0,1,0,0,0,0,0
"cod_longline_federal",5.02134822661917,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"groundfish_longline",5.50709450454263,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"halibut_longline_federal",5.16170977231822,0,0,0,0,0,5.18034713261389,0,0,0,0,0
"sablefish_longline_federal",4.83973992966413,0,0,0,0,0,4.83816779099951,0,0,0,0,0
"bottom_trawl_federal",5.01168758722133,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"midwater_trawl_federal",4.85742840857488,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"herring_seine_state",4.6830277010083,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"salmon_state",5.0093277170138,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"lingcod_dinglebar_state",5.80115200961067,0,0,0,0,0,5.716428637654,0,0,0,0,0
"crab_pot_state",5.02602691670072,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"shrimp_pot_state",3.94322092736473,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"scallop_dredge_state",3.45404759084833,0,0,0,0,0,1,0,0,0,0,0
"subsistence",5.46043346894522,0,0,0,0,0,4.65429535892322,0,0,0,0,0
"recreational",5.80115200961067,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"northern_fur_seal_adult",NA,NA,NA,NA,NA,NA,4.61834741326087,0.001940125,0.091,51.39,0.593693967010905,0.00177077252383732
"northern_fur_seal_juvenile",NA,NA,NA,NA,NA,NA,4.62959716040679,0.000344113,0.116,61.19,0.239364096273177,0.0018957345971564
"salmon_returning",NA,NA,NA,NA,NA,NA,3.61791572447412,0.8566338,1.815861,11.8269,0.365921398680282,0.153536514217589
"salmon_outgoing",NA,NA,NA,NA,NA,NA,3.4659603,0.028567,1.641523,14.38647,0.936934920622414,0.114101860984661
"atka_mackerel",NA,NA,NA,NA,NA,NA,3.52570576169529,0.110763,0.35,5.65,0.0298854506368764,0.0619469026548672
"nonpandalid_shrimp",NA,NA,NA,NA,NA,NA,2.8539136726,65.7123383019194,0.576,2.41,0.8,0.239004149377593
"benthic_zooplankton",NA,NA,NA,NA,NA,NA,2.3,17.7921649528254,7.4,37,0.8,0.2
"tanner_crab_fleet",NA,NA,NA,NA,NA,NA,4.32633420060724,0,0,0,0,0
"king_crab_fleet",NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
"shrimp_trawl",NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
"herring_fleet",NA,NA,NA,NA,NA,NA,4.60656551023757,0,0,0,0,0
"salmon_fleet_state",NA,NA,NA,NA,NA,NA,4.60410159497647,0,0,0,0,0
"flatfish_trawl",NA,NA,NA,NA,NA,NA,4.21731915545219,0,0,0,0,0
"pacific_cod_longline_federal",NA,NA,NA,NA,NA,NA,5.00661059812835,0,0,0,0,0
"pacific_cod_pot_federal",NA,NA,NA,NA,NA,NA,4.59505172362663,0,0,0,0,0
"pacific_cod_trawl",NA,NA,NA,NA,NA,NA,4.56785501243117,0,0,0,0,0
"pollock_trawl",NA,NA,NA,NA,NA,NA,4.88838801790846,0,0,0,0,0
"rockfish_trawl",NA,NA,NA,NA,NA,NA,4.1197773932096,0,0,0,0,0
