"","year","species_group_code","species_group_name","species_name","retained_or_discarded","agency_gear_code","conf_flag","catch_mt","matched_name","node"
"1948",2000,"PLCK","Pollock","pollock, walleye","R","HAL",0,46.75,"Walleye pollock","53"
"1950",2000,"PLCK","Pollock","pollock, walleye","R","NPT",0,3852.06,"Walleye pollock","53"
"1954",2000,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","NPT",0,1114.79,"Pacific ocean perch","43"
"1958",2000,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","NPT",0,8267.11,"Pacific ocean perch","43"
"1960",2000,"REXS","Rex Sole","sole, rex","D","NPT",0,100.5,"Rex sole ","37"
"1963",2000,"REXS","Rex Sole","sole, rex","R","NPT",0,3471.31,"Rex sole ","37"
"1965",2000,"SABL","Sablefish","sablefish (blackcod)","D","HAL",0,262.25,"Sablefish","49"
"1966",2000,"SABL","Sablefish","sablefish (blackcod)","D","NPT",0,586.43,"Sablefish","49"
"1969",2000,"SABL","Sablefish","sablefish (blackcod)","R","HAL",0,5859.72,"Sablefish","49"
"1971",2000,"SABL","Sablefish","sablefish (blackcod)","R","NPT",0,1000.45,"Sablefish","49"
"1973",2000,"SFL1","Shallow Water Flatfish","flatfish, shallow water","D","HAL",0,6.87,"Shallow water flatfish","41"
"1974",2000,"SFL1","Shallow Water Flatfish","flatfish, shallow water","D","NPT",0,461.39,"Shallow water flatfish","41"
"1978",2000,"SFL1","Shallow Water Flatfish","flatfish, shallow water","R","NPT",0,34.12,"Shallow water flatfish","41"
"1987",2000,"SFL1","Shallow Water Flatfish","flounder, starry","D","NPT",0,5.28,"Shallow water flatfish","41"
"1991",2000,"SFL1","Shallow Water Flatfish","sole, English","D","NPT",0,8.17,"Shallow water flatfish","41"
"1994",2000,"SFL1","Shallow Water Flatfish","sole, butter","D","NPT",0,42.38,"Shallow water flatfish","41"
"1999",2000,"SFL1","Shallow Water Flatfish","sole, rock","D","NPT",0,222.88,"Shallow water flatfish","41"
"2003",2000,"SFL1","Shallow Water Flatfish","sole, rock","R","NPT",0,5025.02,"Shallow water flatfish","41"
"2064",2001,"AMCK","Atka Mackerel","greenling, atka mackerel","D","HAL",0,0.18,"Atka mackerel","57"
"2065",2001,"AMCK","Atka Mackerel","greenling, atka mackerel","D","NPT",0,16.95,"Atka mackerel","57"
"2068",2001,"AMCK","Atka Mackerel","greenling, atka mackerel","R","NPT",0,58.16,"Atka mackerel","57"
"2070",2001,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","HAL",0,540.38,"Arrowtooth flounder","35"
"2071",2001,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","NPT",0,11974.54,"Arrowtooth flounder","35"
"2072",2001,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","POT",0,4.06,"Arrowtooth flounder","35"
"2074",2001,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","HAL",0,32.25,"Arrowtooth flounder","35"
"2075",2001,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","NPT",0,4864.97,"Arrowtooth flounder","35"
"2095",2001,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","HAL",0,13.94,"Demersal shelf rockfish","46"
"2096",2001,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","NPT",0,5.75,"Demersal shelf rockfish","46"
"2099",2001,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","HAL",0,2.53,"Demersal shelf rockfish","46"
"2111",2001,"DFL4","Deep Water Flatfish","flatfish, deep water","D","HAL",0,8.01,"Deep water flatfish","42"
"2112",2001,"DFL4","Deep Water Flatfish","flatfish, deep water","D","NPT",0,126.35,"Deep water flatfish","42"
"2115",2001,"DFL4","Deep Water Flatfish","flatfish, deep water","R","HAL",0,0.4,"Deep water flatfish","42"
"2116",2001,"DFL4","Deep Water Flatfish","flatfish, deep water","R","NPT",0,6,"Deep water flatfish","42"
"2117",2001,"DFL4","Deep Water Flatfish","sole, dover","D","NPT",0,57.27,"Deep water flatfish","42"
"2121",2001,"DFL4","Deep Water Flatfish","turbot, Greenland","R","HAL",0,3.76,"Deep water flatfish","42"
"2123",2001,"FSOL","Flathead Sole","sole, flathead","D","HAL",0,6.35,"Flathead sole","39"
"2124",2001,"FSOL","Flathead Sole","sole, flathead","D","NPT",0,199.08,"Flathead sole","39"
"2128",2001,"FSOL","Flathead Sole","sole, flathead","R","NPT",0,1403.07,"Flathead sole","39"
"2190",2001,"PCOD","Pacific Cod","cod, Pacific (gray)","D","HAL",0,184.65,"Pacific cod","51"
"2191",2001,"PCOD","Pacific Cod","cod, Pacific (gray)","D","NPT",0,1567.17,"Pacific cod","51"
"2194",2001,"PCOD","Pacific Cod","cod, Pacific (gray)","R","HAL",0,9608.87,"Pacific cod","51"
"2196",2001,"PCOD","Pacific Cod","cod, Pacific (gray)","R","NPT",0,22116.91,"Pacific cod","51"
"2198",2001,"PCOD","Pacific Cod","cod, Pacific (gray)","R","POT",0,7039.81,"Pacific cod","51"
"2201",2001,"PEL7","Pelagic Shelf Rockfish","rockfish, dusky","D","NPT",0,35.2,"Pelagic shelf rockfish","47"
"2204",2001,"PEL7","Pelagic Shelf Rockfish","rockfish, dusky","R","NPT",0,1642.24,"Pelagic shelf rockfish","47"
"2208",2001,"PEL7","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","HAL",0,2.72,"Pelagic shelf rockfish","47"
"2209",2001,"PEL7","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","NPT",0,85.05,"Pelagic shelf rockfish","47"
"2213",2001,"PEL7","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","NPT",0,753.89,"Pelagic shelf rockfish","47"
"2217",2001,"PLCK","Pollock","pollock, walleye","D","HAL",0,6.57,"Walleye pollock","53"
"2218",2001,"PLCK","Pollock","pollock, walleye","D","NPT",0,430.36,"Walleye pollock","53"
"2221",2001,"PLCK","Pollock","pollock, walleye","R","HAL",0,96.92,"Walleye pollock","53"
"2223",2001,"PLCK","Pollock","pollock, walleye","R","NPT",0,2918.45,"Walleye pollock","53"
"2227",2001,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","NPT",0,922.99,"Pacific ocean perch","43"
"2232",2001,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","NPT",0,9268.1,"Pacific ocean perch","43"
"2235",2001,"REXS","Rex Sole","sole, rex","D","NPT",0,148.67,"Rex sole ","37"
"2238",2001,"REXS","Rex Sole","sole, rex","R","NPT",0,2744.08,"Rex sole ","37"
"2240",2001,"SABL","Sablefish","sablefish (blackcod)","D","HAL",0,176.91,"Sablefish","49"
"2241",2001,"SABL","Sablefish","sablefish (blackcod)","D","NPT",0,486.68,"Sablefish","49"
"2244",2001,"SABL","Sablefish","sablefish (blackcod)","R","HAL",0,5697.63,"Sablefish","49"
"2246",2001,"SABL","Sablefish","sablefish (blackcod)","R","NPT",0,731.91,"Sablefish","49"
"2250",2001,"SFL1","Shallow Water Flatfish","flatfish, shallow water","D","HAL",0,7.69,"Shallow water flatfish","41"
"2251",2001,"SFL1","Shallow Water Flatfish","flatfish, shallow water","D","NPT",0,469.78,"Shallow water flatfish","41"
"2254",2001,"SFL1","Shallow Water Flatfish","flatfish, shallow water","R","NPT",0,155.49,"Shallow water flatfish","41"
"2272",2001,"SFL1","Shallow Water Flatfish","sole, rock","D","NPT",0,20.17,"Shallow water flatfish","41"
"2275",2001,"SFL1","Shallow Water Flatfish","sole, rock","R","NPT",0,4716.25,"Shallow water flatfish","41"
"2331",2002,"AMCK","Atka Mackerel","greenling, atka mackerel","D","HAL",0,0.9,"Atka mackerel","57"
"2332",2002,"AMCK","Atka Mackerel","greenling, atka mackerel","D","NPT",0,49.75,"Atka mackerel","57"
"2336",2002,"AMCK","Atka Mackerel","greenling, atka mackerel","R","NPT",0,32.43,"Atka mackerel","57"
"2339",2002,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","HAL",0,440.84,"Arrowtooth flounder","35"
"2340",2002,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","NPT",0,9810.6,"Arrowtooth flounder","35"
"2343",2002,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","HAL",0,19.43,"Arrowtooth flounder","35"
"2344",2002,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","NPT",0,9902.69,"Arrowtooth flounder","35"
"2364",2002,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","HAL",0,5.1,"Demersal shelf rockfish","46"
"2365",2002,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","D","NPT",0,6.37,"Demersal shelf rockfish","46"
"2367",2002,"DEM1","Demersal Shelf Rockfish","rockfish, unspecified demersal","R","HAL",0,1.92,"Demersal shelf rockfish","46"
"2372",2002,"DFL4","Deep Water Flatfish","flatfish, deep water","D","HAL",0,10.76,"Deep water flatfish","42"
"2373",2002,"DFL4","Deep Water Flatfish","flatfish, deep water","D","NPT",0,113.08,"Deep water flatfish","42"
"2375",2002,"DFL4","Deep Water Flatfish","flatfish, deep water","R","HAL",0,0.99,"Deep water flatfish","42"
"2376",2002,"DFL4","Deep Water Flatfish","flatfish, deep water","R","NPT",0,7.81,"Deep water flatfish","42"
"2379",2002,"DFL4","Deep Water Flatfish","sole, dover","D","NPT",0,65.28,"Deep water flatfish","42"
"2384",2002,"DFL4","Deep Water Flatfish","turbot, Greenland","R","HAL",0,2.81,"Deep water flatfish","42"
"2385",2002,"FSOL","Flathead Sole","sole, flathead","D","HAL",0,6.05,"Flathead sole","39"
"2386",2002,"FSOL","Flathead Sole","sole, flathead","D","NPT",0,223.84,"Flathead sole","39"
"2389",2002,"FSOL","Flathead Sole","sole, flathead","R","NPT",0,1696.82,"Flathead sole","39"
"2477",2002,"PCOD","Pacific Cod","cod, Pacific (gray)","D","HAL",0,114.56,"Pacific cod","51"
"2478",2002,"PCOD","Pacific Cod","cod, Pacific (gray)","D","NPT",0,3479.6,"Pacific cod","51"
"2481",2002,"PCOD","Pacific Cod","cod, Pacific (gray)","R","HAL",0,14480.65,"Pacific cod","51"
"2483",2002,"PCOD","Pacific Cod","cod, Pacific (gray)","R","NPT",0,15928.62,"Pacific cod","51"
"2484",2002,"PCOD","Pacific Cod","cod, Pacific (gray)","R","POT",0,7564.56,"Pacific cod","51"
"2487",2002,"PEL7","Pelagic Shelf Rockfish","rockfish, dusky","D","NPT",0,86.31,"Pelagic shelf rockfish","47"
"2490",2002,"PEL7","Pelagic Shelf Rockfish","rockfish, dusky","R","NPT",0,1743.58,"Pelagic shelf rockfish","47"
"2493",2002,"PEL7","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","HAL",0,8.08,"Pelagic shelf rockfish","47"
"2494",2002,"PEL7","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D","NPT",0,66.11,"Pelagic shelf rockfish","47"
"2498",2002,"PEL7","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R","NPT",0,937.62,"Pelagic shelf rockfish","47"
"2501",2002,"PLCK","Pollock","pollock, walleye","D","HAL",0,12.12,"Walleye pollock","53"
"2502",2002,"PLCK","Pollock","pollock, walleye","D","NPT",0,827.76,"Walleye pollock","53"
"2505",2002,"PLCK","Pollock","pollock, walleye","R","HAL",0,82.06,"Walleye pollock","53"
"2507",2002,"PLCK","Pollock","pollock, walleye","R","NPT",0,776.09,"Walleye pollock","53"
"2511",2002,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","NPT",0,846.03,"Pacific ocean perch","43"
"2515",2002,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","NPT",0,9921.09,"Pacific ocean perch","43"
"2518",2002,"REXS","Rex Sole","sole, rex","D","NPT",0,142.69,"Rex sole ","37"
"2521",2002,"REXS","Rex Sole","sole, rex","R","NPT",0,2839.6,"Rex sole ","37"
"2546",2002,"SABL","Sablefish","sablefish (blackcod)","D","HAL",0,175.14,"Sablefish","49"
"2547",2002,"SABL","Sablefish","sablefish (blackcod)","D","NPT",0,666.17,"Sablefish","49"
"2550",2002,"SABL","Sablefish","sablefish (blackcod)","R","HAL",0,6062.72,"Sablefish","49"
"2552",2002,"SABL","Sablefish","sablefish (blackcod)","R","NPT",0,1098.17,"Sablefish","49"
"2555",2002,"SFL1","Shallow Water Flatfish","flatfish, shallow water","D","HAL",0,15.23,"Shallow water flatfish","41"
"2556",2002,"SFL1","Shallow Water Flatfish","flatfish, shallow water","D","NPT",0,363.3,"Shallow water flatfish","41"
"2560",2002,"SFL1","Shallow Water Flatfish","flatfish, shallow water","R","NPT",0,79.99,"Shallow water flatfish","41"
"2564",2002,"SFL1","Shallow Water Flatfish","flounder, general","D","HAL",0,29.23,"Shallow water flatfish","41"
"2573",2002,"SFL1","Shallow Water Flatfish","sole, butter","D","NPT",0,68.66,"Shallow water flatfish","41"
"2576",2002,"SFL1","Shallow Water Flatfish","sole, rock","D","HAL",0,2.34,"Shallow water flatfish","41"
"2577",2002,"SFL1","Shallow Water Flatfish","sole, rock","D","NPT",0,103.27,"Shallow water flatfish","41"
"2578",2002,"SFL1","Shallow Water Flatfish","sole, rock","R","NPT",0,5382.36,"Shallow water flatfish","41"
"2624",2003,"AMCK","Atka Mackerel","greenling, atka mackerel","D","HAL",0,1.247,"Atka mackerel","57"
"2625",2003,"AMCK","Atka Mackerel","greenling, atka mackerel","D","NPT",0,244.964,"Atka mackerel","57"
"2626",2003,"AMCK","Atka Mackerel","greenling, atka mackerel","D","POT",0,6.407,"Atka mackerel","57"
"2627",2003,"AMCK","Atka Mackerel","greenling, atka mackerel","R","NPT",0,328.531,"Atka mackerel","57"
"2630",2003,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","HAL",0,221.481,"Arrowtooth flounder","35"
"2632",2003,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","NPT",0,16791.155,"Arrowtooth flounder","35"
"2633",2003,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","POT",0,1.813,"Arrowtooth flounder","35"
"2634",2003,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","PTR",0,105.824,"Arrowtooth flounder","35"
"2635",2003,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","HAL",0,42.458,"Arrowtooth flounder","35"
"2636",2003,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","NPT",0,12583.177,"Arrowtooth flounder","35"
"2637",2003,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","POT",0,0.02,"Arrowtooth flounder","35"
"2638",2003,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","PTR",0,423.844,"Arrowtooth flounder","35"
"2650",2003,"FSOL","Flathead Sole","sole, flathead","D","HAL",0,1.31,"Flathead sole","39"
"2651",2003,"FSOL","Flathead Sole","sole, flathead","D","NPT",0,212.89,"Flathead sole","39"
"2652",2003,"FSOL","Flathead Sole","sole, flathead","D","PTR",0,32.385,"Flathead sole","39"
"2653",2003,"FSOL","Flathead Sole","sole, flathead","R","HAL",0,0.995,"Flathead sole","39"
"2654",2003,"FSOL","Flathead Sole","sole, flathead","R","NPT",0,2012.45,"Flathead sole","39"
"2656",2003,"FSOL","Flathead Sole","sole, flathead","R","PTR",0,131.872,"Flathead sole","39"
"2723",2003,"PCOD","Pacific Cod","cod, Pacific (gray)","D","HAL",0,309.221,"Pacific cod","51"
"2725",2003,"PCOD","Pacific Cod","cod, Pacific (gray)","D","NPT",0,2013.798,"Pacific cod","51"
"2726",2003,"PCOD","Pacific Cod","cod, Pacific (gray)","D","POT",0,26.579,"Pacific cod","51"
"2727",2003,"PCOD","Pacific Cod","cod, Pacific (gray)","D","PTR",0,12.148,"Pacific cod","51"
"2728",2003,"PCOD","Pacific Cod","cod, Pacific (gray)","R","HAL",0,9073.904,"Pacific cod","51"
"2729",2003,"PCOD","Pacific Cod","cod, Pacific (gray)","R","JIG",0,3394.502,"Pacific cod","51"
"2730",2003,"PCOD","Pacific Cod","cod, Pacific (gray)","R","NPT",0,16459.273,"Pacific cod","51"
"2732",2003,"PCOD","Pacific Cod","cod, Pacific (gray)","R","POT",0,20677.869,"Pacific cod","51"
"2733",2003,"PCOD","Pacific Cod","cod, Pacific (gray)","R","PTR",0,398.461,"Pacific cod","51"
"2752",2003,"PLCK","Pollock","pollock, walleye","D","HAL",0,1.391,"Walleye pollock","53"
"2754",2003,"PLCK","Pollock","pollock, walleye","D","NPT",0,318.775,"Walleye pollock","53"
"2755",2003,"PLCK","Pollock","pollock, walleye","D","POT",0,8.042,"Walleye pollock","53"
"2756",2003,"PLCK","Pollock","pollock, walleye","D","PTR",0,719.703,"Walleye pollock","53"
"2757",2003,"PLCK","Pollock","pollock, walleye","R","HAL",0,49.785,"Walleye pollock","53"
"2758",2003,"PLCK","Pollock","pollock, walleye","R","JIG",0,0.07,"Walleye pollock","53"
"2759",2003,"PLCK","Pollock","pollock, walleye","R","NPT",0,2291.269,"Walleye pollock","53"
"2760",2003,"PLCK","Pollock","pollock, walleye","R","POT",0,0.872,"Walleye pollock","53"
"2761",2003,"PLCK","Pollock","pollock, walleye","R","PTR",0,45200.17,"Walleye pollock","53"
"2762",2003,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","NPT",0,1574.123,"Pacific ocean perch","43"
"2763",2003,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","POT",0,0.061,"Pacific ocean perch","43"
"2764",2003,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","PTR",0,58.939,"Pacific ocean perch","43"
"2765",2003,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","HAL",0,0.989,"Pacific ocean perch","43"
"2766",2003,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","NPT",0,8488.346,"Pacific ocean perch","43"
"2768",2003,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","PTR",0,117.737,"Pacific ocean perch","43"
"2832",2003,"SABL","Sablefish","sablefish (blackcod)","D","HAL",0,217.914,"Sablefish","49"
"2833",2003,"SABL","Sablefish","sablefish (blackcod)","D","NPT",0,636.331,"Sablefish","49"
"2834",2003,"SABL","Sablefish","sablefish (blackcod)","D","POT",0,0.183,"Sablefish","49"
"2835",2003,"SABL","Sablefish","sablefish (blackcod)","R","HAL",0,7249.703,"Sablefish","49"
"2836",2003,"SABL","Sablefish","sablefish (blackcod)","R","NPT",0,1006.24,"Sablefish","49"
"2838",2003,"SABL","Sablefish","sablefish (blackcod)","R","PTR",0,1.585,"Sablefish","49"
"2907",2004,"AMCK","Atka Mackerel","greenling, atka mackerel","D","HAL",0,4.332,"Atka mackerel","57"
"2908",2004,"AMCK","Atka Mackerel","greenling, atka mackerel","D","NPT",0,291.328,"Atka mackerel","57"
"2909",2004,"AMCK","Atka Mackerel","greenling, atka mackerel","D","POT",0,18.287,"Atka mackerel","57"
"2910",2004,"AMCK","Atka Mackerel","greenling, atka mackerel","D","PTR",0,17.317,"Atka mackerel","57"
"2912",2004,"AMCK","Atka Mackerel","greenling, atka mackerel","R","NPT",0,489.146,"Atka mackerel","57"
"2915",2004,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","HAL",0,234.902,"Arrowtooth flounder","35"
"2916",2004,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","NPT",0,8591.907,"Arrowtooth flounder","35"
"2917",2004,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","POT",0,1.201,"Arrowtooth flounder","35"
"2918",2004,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","PTR",0,142.679,"Arrowtooth flounder","35"
"2919",2004,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","HAL",0,46.034,"Arrowtooth flounder","35"
"2921",2004,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","NPT",0,5799.794,"Arrowtooth flounder","35"
"2923",2004,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","PTR",0,818.391,"Arrowtooth flounder","35"
"2948",2004,"FSOL","Flathead Sole","sole, flathead","D","HAL",0,1.715,"Flathead sole","39"
"2950",2004,"FSOL","Flathead Sole","sole, flathead","D","NPT",0,395.239,"Flathead sole","39"
"2952",2004,"FSOL","Flathead Sole","sole, flathead","D","PTR",0,29.119,"Flathead sole","39"
"2954",2004,"FSOL","Flathead Sole","sole, flathead","R","NPT",0,1699.474,"Flathead sole","39"
"2956",2004,"FSOL","Flathead Sole","sole, flathead","R","PTR",0,213.592,"Flathead sole","39"
"3015",2004,"PCOD","Pacific Cod","cod, Pacific (gray)","D","HAL",0,319.742,"Pacific cod","51"
"3017",2004,"PCOD","Pacific Cod","cod, Pacific (gray)","D","NPT",0,808.529,"Pacific cod","51"
"3018",2004,"PCOD","Pacific Cod","cod, Pacific (gray)","D","POT",0,106.903,"Pacific cod","51"
"3019",2004,"PCOD","Pacific Cod","cod, Pacific (gray)","D","PTR",0,20.289,"Pacific cod","51"
"3020",2004,"PCOD","Pacific Cod","cod, Pacific (gray)","R","HAL",0,9893.929,"Pacific cod","51"
"3021",2004,"PCOD","Pacific Cod","cod, Pacific (gray)","R","JIG",0,3164.105,"Pacific cod","51"
"3022",2004,"PCOD","Pacific Cod","cod, Pacific (gray)","R","NPT",0,16273.351,"Pacific cod","51"
"3023",2004,"PCOD","Pacific Cod","cod, Pacific (gray)","R","POT",0,25460.508,"Pacific cod","51"
"3024",2004,"PCOD","Pacific Cod","cod, Pacific (gray)","R","PTR",0,402.886,"Pacific cod","51"
"3041",2004,"PLCK","Pollock","pollock, walleye","D","HAL",0,6.032,"Walleye pollock","53"
"3042",2004,"PLCK","Pollock","pollock, walleye","D","NPT",0,350.442,"Walleye pollock","53"
"3043",2004,"PLCK","Pollock","pollock, walleye","D","POT",0,5.225,"Walleye pollock","53"
"3044",2004,"PLCK","Pollock","pollock, walleye","D","PTR",0,786.684,"Walleye pollock","53"
"3045",2004,"PLCK","Pollock","pollock, walleye","R","HAL",0,19.987,"Walleye pollock","53"
"3047",2004,"PLCK","Pollock","pollock, walleye","R","NPT",0,6765.675,"Walleye pollock","53"
"3049",2004,"PLCK","Pollock","pollock, walleye","R","POT",0,0.635,"Walleye pollock","53"
"3050",2004,"PLCK","Pollock","pollock, walleye","R","PTR",0,54499.76,"Walleye pollock","53"
"3051",2004,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","HAL",0,0.125,"Pacific ocean perch","43"
"3052",2004,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","NPT",0,868.688,"Pacific ocean perch","43"
"3053",2004,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","POT",0,0.054,"Pacific ocean perch","43"
"3054",2004,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","PTR",0,65.344,"Pacific ocean perch","43"
"3055",2004,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","HAL",0,0.135,"Pacific ocean perch","43"
"3056",2004,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","NPT",0,9786.868,"Pacific ocean perch","43"
"3057",2004,"POPA","Pacific Ocean Perch","perch, Pacific ocean","R","PTR",0,41.6,"Pacific ocean perch","43"
"3111",2004,"SABL","Sablefish","sablefish (blackcod)","D","HAL",0,252.274,"Sablefish","49"
"3112",2004,"SABL","Sablefish","sablefish (blackcod)","D","NPT",0,198.709,"Sablefish","49"
"3113",2004,"SABL","Sablefish","sablefish (blackcod)","D","POT",0,2.758,"Sablefish","49"
"3114",2004,"SABL","Sablefish","sablefish (blackcod)","D","PTR",0,0.108,"Sablefish","49"
"3115",2004,"SABL","Sablefish","sablefish (blackcod)","R","HAL",0,8037.627,"Sablefish","49"
"3116",2004,"SABL","Sablefish","sablefish (blackcod)","R","NPT",0,990.313,"Sablefish","49"
"3117",2004,"SABL","Sablefish","sablefish (blackcod)","R","PTR",0,1.002,"Sablefish","49"
"3186",2005,"AMCK","Atka Mackerel","greenling, atka mackerel","D","HAL",0,1.383,"Atka mackerel","57"
"3187",2005,"AMCK","Atka Mackerel","greenling, atka mackerel","D","NPT",0,136.283,"Atka mackerel","57"
"3188",2005,"AMCK","Atka Mackerel","greenling, atka mackerel","D","POT",0,19.255,"Atka mackerel","57"
"3189",2005,"AMCK","Atka Mackerel","greenling, atka mackerel","R","NPT",0,639.979,"Atka mackerel","57"
"3191",2005,"AMCK","Atka Mackerel","greenling, atka mackerel","R","PTR",0,3.465,"Atka mackerel","57"
"3192",2005,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","HAL",0,240.937,"Arrowtooth flounder","35"
"3193",2005,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","NPT",0,7399.923,"Arrowtooth flounder","35"
"3194",2005,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","POT",0,2.968,"Arrowtooth flounder","35"
"3195",2005,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","PTR",0,269.419,"Arrowtooth flounder","35"
"3196",2005,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","HAL",0,113.877,"Arrowtooth flounder","35"
"3197",2005,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","NPT",0,9797.284,"Arrowtooth flounder","35"
"3198",2005,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","PTR",0,2099.165,"Arrowtooth flounder","35"
"3216",2005,"FSOL","Flathead Sole","sole, flathead","D","HAL",0,0.578,"Flathead sole","39"
"3217",2005,"FSOL","Flathead Sole","sole, flathead","D","NPT",0,252.109,"Flathead sole","39"
"3219",2005,"FSOL","Flathead Sole","sole, flathead","D","PTR",0,2.889,"Flathead sole","39"
"3220",2005,"FSOL","Flathead Sole","sole, flathead","R","NPT",0,2031.869,"Flathead sole","39"
"3222",2005,"FSOL","Flathead Sole","sole, flathead","R","PTR",0,173.23,"Flathead sole","39"
"3286",2005,"PCOD","Pacific Cod","cod, Pacific (gray)","D","HAL",0,156.672,"Pacific cod","51"
"3288",2005,"PCOD","Pacific Cod","cod, Pacific (gray)","D","NPT",0,757.499,"Pacific cod","51"
"3289",2005,"PCOD","Pacific Cod","cod, Pacific (gray)","D","POT",0,122.67,"Pacific cod","51"
"3290",2005,"PCOD","Pacific Cod","cod, Pacific (gray)","D","PTR",0,0.536,"Pacific cod","51"
"3291",2005,"PCOD","Pacific Cod","cod, Pacific (gray)","R","HAL",0,5559.896,"Pacific cod","51"
"3292",2005,"PCOD","Pacific Cod","cod, Pacific (gray)","R","JIG",0,2875.735,"Pacific cod","51"
"3293",2005,"PCOD","Pacific Cod","cod, Pacific (gray)","R","NPT",0,13379.446,"Pacific cod","51"
"3294",2005,"PCOD","Pacific Cod","cod, Pacific (gray)","R","POT",0,24259.796,"Pacific cod","51"
"3295",2005,"PCOD","Pacific Cod","cod, Pacific (gray)","R","PTR",0,411.53,"Pacific cod","51"
"3315",2005,"PLCK","Pollock","pollock, walleye","D","HAL",0,0.883,"Walleye pollock","53"
"3316",2005,"PLCK","Pollock","pollock, walleye","D","NPT",0,92.489,"Walleye pollock","53"
"3317",2005,"PLCK","Pollock","pollock, walleye","D","POT",0,1.561,"Walleye pollock","53"
"3318",2005,"PLCK","Pollock","pollock, walleye","D","PTR",0,1012.559,"Walleye pollock","53"
"3319",2005,"PLCK","Pollock","pollock, walleye","R","HAL",0,14.374,"Walleye pollock","53"
"3320",2005,"PLCK","Pollock","pollock, walleye","R","JIG",0,1.27,"Walleye pollock","53"
"3321",2005,"PLCK","Pollock","pollock, walleye","R","NPT",0,1449.89,"Walleye pollock","53"
"3322",2005,"PLCK","Pollock","pollock, walleye","R","POT",0,0.438,"Walleye pollock","53"
"3323",2005,"PLCK","Pollock","pollock, walleye","R","PTR",0,75729.328,"Walleye pollock","53"
"3325",2005,"POPA","Pacific Ocean Perch","perch, Pacific ocean","D","NPT",0,610.997,"Pacific ocean perch","43"
