"","year","species_group_code","species_group_name","species_name","retained_or_discarded","agency_gear_code","conf_flag","catch_mt","matched_name","node"
"8376",2022,"USRK","Shark","shark, spiny dogfish","D","NPT",0,18.9060221066,"Salmon shark","28"
"8377",2022,"USRK","Shark","shark, spiny dogfish","D","POT",0,0.4454428031,"Salmon shark","28"
"8380",2022,"USRK","Shark","shark, spiny dogfish","R","NPT",0,2.0017031288,"Salmon shark","28"
"8381",2022,"USRK","Shark","shark, spiny dogfish","R","PTR",0,4.9648134289,"Salmon shark","28"
"8382",2023,"AMCK","Atka Mackerel","greenling, atka mackerel","D","HAL",0,0.1099940928,"Atka mackerel","57"
"8383",2023,"AMCK","Atka Mackerel","greenling, atka mackerel","D","NPT",0,16.7205907799,"Atka mackerel","57"
"8384",2023,"AMCK","Atka Mackerel","greenling, atka mackerel","R","NPT",0,445.6496017474,"Atka mackerel","57"
"8385",2023,"AMCK","Atka Mackerel","greenling, atka mackerel","R","PTR",0,0.0997903213,"Atka mackerel","57"
"8386",2023,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","HAL",0,121.4858828944,"Arrowtooth flounder","35"
"8387",2023,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","NPT",0,669.0472433475,"Arrowtooth flounder","35"
"8388",2023,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","POT",0,107.6744018311,"Arrowtooth flounder","35"
"8389",2023,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","D","PTR",0,16.0121434824,"Arrowtooth flounder","35"
"8390",2023,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","HAL",0,0.6481834965,"Arrowtooth flounder","35"
"8391",2023,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","NPT",0,7773.2224297313,"Arrowtooth flounder","35"
"8393",2023,"ARTH","Arrowtooth Flounder","flounder, arrowtooth","R","PTR",0,407.1806765993,"Arrowtooth flounder","35"
"8422",2023,"FSOL","Flathead Sole","sole, flathead","D","HAL",0,4.562608464,"Flathead sole","39"
"8423",2023,"FSOL","Flathead Sole","sole, flathead","D","NPT",0,24.4162914318,"Flathead sole","39"
"8424",2023,"FSOL","Flathead Sole","sole, flathead","D","POT",0,1.6050184233,"Flathead sole","39"
"8425",2023,"FSOL","Flathead Sole","sole, flathead","D","PTR",0,1.2461143202,"Flathead sole","39"
"8426",2023,"FSOL","Flathead Sole","sole, flathead","R","NPT",0,352.3451866126,"Flathead sole","39"
"8428",2023,"FSOL","Flathead Sole","sole, flathead","R","PTR",0,84.6149350665,"Flathead sole","39"
"8429",2023,"HLBT","Halibut","halibut, Pacific","D","HAL",0,2134.1163192052,"Pacific halibut","33"
"8430",2023,"HLBT","Halibut","halibut, Pacific","D","POT",0,10.9334987126,"Pacific halibut","33"
"8431",2023,"HLBT","Halibut","halibut, Pacific","R","HAL",0,4154.7517235883,"Pacific halibut","33"
"8432",2023,"HLBT","Halibut","halibut, Pacific","R","JIG",0,0.9770703794,"Pacific halibut","33"
"8433",2023,"HLBT","Halibut","halibut, Pacific","R","POT",0,19.2716689732,"Pacific halibut","33"
"8446",2023,"OCTP","Octopus","octopus, North Pacific","D","HAL",0,79.5043047761,"Octopus","62"
"8447",2023,"OCTP","Octopus","octopus, North Pacific","D","NPT",0,3.8419967064,"Octopus","62"
"8448",2023,"OCTP","Octopus","octopus, North Pacific","D","POT",0,55.7807377777,"Octopus","62"
"8449",2023,"OCTP","Octopus","octopus, North Pacific","R","HAL",0,2.5430124826,"Octopus","62"
"8451",2023,"OCTP","Octopus","octopus, North Pacific","R","NPT",0,0.8182806354,"Octopus","62"
"8452",2023,"OCTP","Octopus","octopus, North Pacific","R","POT",0,39.9240524835,"Octopus","62"
"8453",2023,"OCTP","Octopus","octopus, North Pacific","R","PTR",0,0.4808079123,"Octopus","62"
