"e.bal.Group","e.bal.TL","e.bal.Biomass","e.bal.PB","e.bal.QB","e.bal.EE","e.bal.GE","w.bal.TL","w.bal.Biomass","w.bal.PB","w.bal.QB","w.bal.EE","w.bal.GE"
"midwater_trawl_federal",5.09315865806622,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"herring_seine_state",4.84170724975,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"salmon_state",5.17814067260999,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"lingcod_dinglebar_state",5.99494885448401,0,0,0,0,0,5.67409258632689,0,0,0,0,0
"crab_pot_state",5.15386243033007,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"shrimp_pot_state",4.04466043243426,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"scallop_dredge_state",3.45566379196271,0,0,0,0,0,1,0,0,0,0,0
"subsistence",5.50037853381716,0,0,0,0,0,4.77850981569679,0,0,0,0,0
"recreational",5.99494885448401,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"northern_fur_seal_adult",NA,NA,NA,NA,NA,NA,4.56027220897602,0.001940125,0.091,51.39,0.386251478067175,0.00177077252383732
"northern_fur_seal_juvenile",NA,NA,NA,NA,NA,NA,4.57112377371892,0.000344113,0.116,61.19,0.0107216910691386,0.0018957345971564
"salmon_returning",NA,NA,NA,NA,NA,NA,3.83088164255722,0.8566338,1.815861,11.8269,0.34136767177575,0.153536514217589
"salmon_outgoing",NA,NA,NA,NA,NA,NA,3.5125,0.028567,1.641523,14.38647,0.980755609732631,0.114101860984661
"atka_mackerel",NA,NA,NA,NA,NA,NA,3.50160972726731,0.110763,0.35,5.65,0.0297421576394151,0.0619469026548672
"nonpandalid_shrimp",NA,NA,NA,NA,NA,NA,2.8355254326,65.1149305486229,0.576,2.41,0.8,0.239004149377593
"benthic_zooplankton",NA,NA,NA,NA,NA,NA,2.3,17.686362831375,7.4,37,0.8,0.2
"tanner_crab_fleet",NA,NA,NA,NA,NA,NA,4.32633403545369,0,0,0,0,0
"king_crab_fleet",NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
"shrimp_trawl",NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
"herring_fleet",NA,NA,NA,NA,NA,NA,4.52387897613919,0,0,0,0,0
"salmon_fleet_state",NA,NA,NA,NA,NA,NA,4.8019378568702,0,0,0,0,0
"flatfish_trawl",NA,NA,NA,NA,NA,NA,4.20425818571847,0,0,0,0,0
"pacific_cod_longline_federal",NA,NA,NA,NA,NA,NA,4.98799808329496,0,0,0,0,0
"pacific_cod_pot_federal",NA,NA,NA,NA,NA,NA,4.5812458058124,0,0,0,0,0
"pacific_cod_trawl",NA,NA,NA,NA,NA,NA,4.55173727243664,0,0,0,0,0
"pollock_trawl",NA,NA,NA,NA,NA,NA,4.85537724311493,0,0,0,0,0
"rockfish_trawl",NA,NA,NA,NA,NA,NA,4.10362129082608,0,0,0,0,0
