year,run_type,pacific_cod_adult,walleye_pollock_adult,arrowtooth_flounder_adult,pacific_cod_adult_mt,walleye_pollock_adult_mt,arrowtooth_flounder_adult_mt,,,,
1994,biomass_585,12.26867157,53.96922667,32.05350393,2880303.755,12670301.38,7525169.065,,,,
1995,biomass_585,14.41589025,56.15408651,36.04072573,3384404.137,13183238.74,8461245.139,,,,
1996,biomass_585,16.21825407,56.01323044,38.55217386,3807543.29,13150170.1,9050855.304,,,,
1997,biomass_585,17.94090099,54.29678098,40.38989709,4211967.385,12747200.97,9482295.749,,,,
1998,biomass_585,19.53904097,52.07566246,41.57024255,4587161.111,12225751.2,9759404.273,,,,
1999,biomass_585,21.11226725,50.08891473,42.62114265,4956505.87,11759324.42,10006123.04,,,,
2000,biomass_585,22.59787171,48.25268733,43.39228274,5305279.743,11328235.15,10187162.83,,,,
2001,biomass_585,24.46702727,48.48737931,44.72229545,5744099.526,11383333.55,10499408.58,,,,
2002,biomass_585,26.67923283,48.47078481,46.43199758,6263456.812,11379437.68,10900793.64,,,,
2003,biomass_585,28.49087742,47.48780373,47.35310143,6688774.801,11148664.19,11117040.27,,,,
2004,biomass_585,30.2615677,46.74168884,48.11634182,7104477.988,10973499.55,11296225.45,,,,
2005,biomass_585,31.59469988,45.26164155,48.19001669,7417456.097,10626030.32,11313522.03,,,,
2006,biomass_585,32.94159673,45.03809514,48.29886466,7733665.723,10573548.56,11339076.16,,,,
2007,biomass_585,34.30526418,44.46571325,48.46236313,8053812.567,10439171.03,11377460.53,,,,
2008,biomass_585,35.47133233,44.13991455,48.49150364,8327569.221,10362683.6,11384301.82,,,,
2009,biomass_585,36.56718998,43.70654734,48.43568406,8584842.625,10260942.41,11371197.11,,,,
2010,biomass_585,37.48197518,42.82297872,48.10152915,8799605.832,10053507.89,11292747.9,,,,
2011,biomass_585,38.36065617,42.33556387,47.81380289,9005892.889,9939077.995,11225198.69,,,,
2012,biomass_585,38.6078481,40.78310963,46.83836128,9063925.89,9574609.866,10996195.24,,,,
2013,biomass_585,39.28045952,41.4371972,46.48851075,9221834.201,9728169.35,10914061.18,,,,
2014,biomass_585,40.25539908,42.19036861,46.53118588,9450719.788,9904990.649,10924079.98,,,,
2015,biomass_585,41.7352025,42.89358455,47.09974274,9798131.756,10070083.95,11057559.5,,,,
2016,biomass_585,42.70830681,42.43729882,47.06443986,10026586.48,9962962.208,11049271.48,,,,
2017,biomass_585,43.88722956,43.2683544,47.371365,10303361,10158068.29,11121327.99,,,,
2018,biomass_585,44.80956692,43.20072517,47.3855993,10519897.22,10142191.05,11124669.76,,,,
2019,biomass_585,45.66093699,44.23159441,47.50037634,10719772.52,10384207.19,11151615.85,,,,
2020,biomass_585,46.87361948,45.10448248,47.99572865,11004472.77,10589134.25,11267909.22,,,,
2021,biomass_585,45.3038335,35.65189693,43.37255319,10635935.69,8369960.189,10182530.94,,,,
2022,biomass_585,42.35165708,28.90916668,36.24143868,9942856.182,6786976.152,8508366.317,,,,
2023,biomass_585,40.01855638,27.6070621,29.98103352,9395116.464,6481282.361,7038617.259,,,,
2024,biomass_585,37.75122576,27.55911872,26.37669625,8862817.52,6470026.744,6192430.603,,,,
2025,biomass_585,36.12652841,28.64023293,25.33323403,8481388.948,6723838.845,5947458.019,,,,
2026,biomass_585,34.11264247,28.11082981,24.70267826,8008590.96,6599551.404,5799423.074,,,,
2027,biomass_585,32.54679644,28.39780008,24.46773305,7640978.854,6666923.128,5744265.22,,,,
2028,biomass_585,31.76154512,29.82927837,24.52320176,7456626.186,7002989.855,5757287.554,,,,
2029,biomass_585,30.43185295,29.0606856,24.03225286,7144455.685,6822548.097,5642027.972,,,,
2030,biomass_585,28.94342593,29.11382491,22.91424018,6795019.163,6835023.56,5379553.252,,,,
2031,biomass_585,27.12556956,29.67184533,22.29613138,6368242.839,6966029.457,5234440.469,,,,
