"","date","PP_L"
"156",1992-12-01,1.06425454036347
"157",1993-01-01,1.06905412960754
"158",1993-02-01,1.04145143013942
"159",1993-03-01,1.01173249881159
"160",1993-04-01,1.44734011892899
"161",1993-05-01,1.3481903769971
"162",1993-06-01,1.42290048371838
"163",1993-07-01,1.26058403327725
"164",1993-08-01,1.14426056059417
"165",1993-09-01,1.38916793767858
"166",1993-10-01,1.37885926333867
"167",1993-11-01,1.18724661004681
"168",1993-12-01,1.08946349931269
"169",1994-01-01,1.06788467158288
"170",1994-02-01,1.15583438398961
"171",1994-03-01,0.938585467051562
"172",1994-04-01,1.24148965271898
"173",1994-05-01,1.68800068510245
"174",1994-06-01,1.60028492396446
"175",1994-07-01,1.18730470825442
"176",1994-08-01,1.19055606890979
"177",1994-09-01,1.13933755267281
