"year","species_group_code","species_group_name","species_name","retained_or_discarded","agency_gear_code","conf_flag","catch_mt"
"1992","SABL","Sablefish","sablefish (blackcod)","R","TRW",0,1891.4
"1992","SCNO","Sharpchin/Northern Rockfish","rockfish, dusky","D","HAL",1,NA
"1992","SCNO","Sharpchin/Northern Rockfish","rockfish, dusky","D","TRW",1,NA
"1992","SFL1","Shallow Water Flatfish","flatfish, shallow water","D","HAL",0,11.01
"1992","SFL1","Shallow Water Flatfish","flatfish, shallow water","D","OTH",1,NA
"1992","SFL1","Shallow Water Flatfish","flatfish, shallow water","D","POT",1,NA
"1992","SFL1","Shallow Water Flatfish","flatfish, shallow water","D","TRW",0,2564.22
"1992","SFL1","Shallow Water Flatfish","flatfish, shallow water","R","HAL",1,NA
"1992","SFL1","Shallow Water Flatfish","flatfish, shallow water","R","POT",1,NA
"1992","SFL1","Shallow Water Flatfish","flatfish, shallow water","R","TRW",0,5752.56
"1992","SLR1","Slope Rockfish","rockfish, unspecified slope","D","HAL",0,0.73
"1992","SLR1","Slope Rockfish","rockfish, unspecified slope","D","POT",1,NA
"1992","SLR1","Slope Rockfish","rockfish, unspecified slope","D","TRW",0,2358.46
"1992","SLR1","Slope Rockfish","rockfish, unspecified slope","R","HAL",0,16.72
"1992","SLR1","Slope Rockfish","rockfish, unspecified slope","R","JIG",1,NA
"1992","SLR1","Slope Rockfish","rockfish, unspecified slope","R","POT",1,NA
"1992","SLR1","Slope Rockfish","rockfish, unspecified slope","R","TRW",0,5865.79
"1992","SLR3","Other Slope Rockfish","rockfish, unspecified slope","D","HAL",1,NA
"1992","SLR3","Other Slope Rockfish","rockfish, unspecified slope","D","POT",1,NA
"1992","SLR3","Other Slope Rockfish","rockfish, unspecified slope","D","TRW",1,NA
"1992","SQID","Squid","squid, majestic","D","HAL",1,NA
"1992","SQID","Squid","squid, majestic","D","TRW",0,11.41
"1992","SQID","Squid","squid, majestic","R","TRW",0,8.56
"1992","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","D","HAL",0,136.99
"1992","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","D","POT",1,NA
"1992","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","D","TRW",0,170.47
"1992","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","R","HAL",0,58.41
"1992","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","R","JIG",1,NA
"1992","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","R","POT",1,NA
"1992","SRRE","Shortraker/Rougheye Rockfish","rockfish, shortraker/rougheye","R","TRW",0,1286.03
"1992","SRSN","Shortraker/Rougheye/Sharpchin/Northern Rockfish","rockfish, dark","D","TRW",1,NA
"1992","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)","D","HAL",0,189.96
"1992","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)","D","TRW",0,120.74
"1992","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)","R","HAL",0,340.52
"1992","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)","R","POT",1,NA
"1992","THDS","Thornyhead Rockfish","rockfish, thornyhead (idiots)","R","TRW",0,612.89
"1992","USKT","Skate","skate, other","D","TRW",1,NA
"1992","USMN","Unspecified Salmon",NA,"D","TRW",1,NA
"1992","YSOL","Yellowfin Sole","sole, yellowfin","D","POT",1,NA
"1992","YSOL","Yellowfin Sole","sole, yellowfin","R","TRW",1,NA
"1992",NA,NA,NA,"0"," BT",1,NA
"1992",NA,NA,NA,"9"," BT",1,NA
"1993","AMCK","Atka Mackerel","greenling, atka mackerel","D","POT",1,NA
"1993","AMCK","Atka Mackerel","greenling, atka mackerel","D","TRW",0,148.75
"1993","AMCK","Atka Mackerel","greenling, atka mackerel","R","TRW",0,2007.48
