"year","species_group_code","species_group_name","species_name","retained_or_discarded","conf_flag","catch_mt"
"1994","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","D",0,265.54
"1994","PELS","Pelagic Shelf Rockfish","rockfish, unspecified pelagic","R",0,1405.59
"1994","PELS","Pelagic Shelf Rockfish","rockfish, widow","R",1,NA
"1994","PELS","Pelagic Shelf Rockfish","rockfish, yellowtail","R",1,NA
"1994","PLCK","Pollock","pollock, walleye","D",0,5802.92
"1994","PLCK","Pollock","pollock, walleye","R",0,94666.01
"1994","POPA","Pacific Ocean Perch","perch, Pacific ocean","D",0,897.2
"1994","POPA","Pacific Ocean Perch","perch, Pacific ocean","R",0,176.89
"1994","REXS","Rex Sole","sole, rex","D",0,350.86
"1994","REXS","Rex Sole","sole, rex","R",0,3206.68
"1994","SABL","Sablefish","sablefish (blackcod)","D",0,540.49
"1994","SABL","Sablefish","sablefish (blackcod)","R",0,9375.17
"1994","SFL1","Shallow Water Flatfish","flatfish, shallow water","D",0,357.01
"1994","SFL1","Shallow Water Flatfish","flatfish, shallow water","R",0,28.82
"1994","SFL1","Shallow Water Flatfish","flounder, Alaska plaice","D",1,NA
"1994","SFL1","Shallow Water Flatfish","flounder, Alaska plaice","R",1,NA
"1994","SFL1","Shallow Water Flatfish","flounder, general","D",0,46.69
"1994","SFL1","Shallow Water Flatfish","flounder, general","R",1,NA
"1994","SFL1","Shallow Water Flatfish","flounder, starry","D",1,NA
"1994","SFL1","Shallow Water Flatfish","flounder, starry","R",1,NA
"1994","SFL1","Shallow Water Flatfish","sole, English","D",1,NA
"1994","SFL1","Shallow Water Flatfish","sole, English","R",1,NA
"1994","SFL1","Shallow Water Flatfish","sole, butter","D",1,NA
"1994","SFL1","Shallow Water Flatfish","sole, butter","R",0,210.41
"1994","SFL1","Shallow Water Flatfish","sole, petrale","R",1,NA
"1994","SFL1","Shallow Water Flatfish","sole, rock","D",0,565.27
"1994","SFL1","Shallow Water Flatfish","sole, rock","R",0,2440.82
"1994","SFL1","Shallow Water Flatfish","sole, sand","D",1,NA
"1994","SFL1","Shallow Water Flatfish","sole, sand","R",1,NA
"1994","SFL1","Shallow Water Flatfish","sole, yellowfin","D",1,NA
"1994","SFL1","Shallow Water Flatfish","sole, yellowfin","R",1,NA
"1994","SLR3","Other Slope Rockfish","rockfish, greenstripe","R",1,NA
"1994","SLR3","Other Slope Rockfish","rockfish, harlequin","R",1,NA
"1994","SLR3","Other Slope Rockfish","rockfish, pygmy","R",1,NA
"1994","SLR3","Other Slope Rockfish","rockfish, redstripe","D",1,NA
"1994","SLR3","Other Slope Rockfish","rockfish, redstripe","R",1,NA
"1994","SLR3","Other Slope Rockfish","rockfish, sharpchin","D",0,38.68
"1994","SLR3","Other Slope Rockfish","rockfish, sharpchin","R",1,NA
"1994","SLR3","Other Slope Rockfish","rockfish, silvergray","D",1,NA
"1994","SLR3","Other Slope Rockfish","rockfish, silvergray","R",1,NA
"1994","SLR3","Other Slope Rockfish","rockfish, splitnose","R",1,NA
"1994","SLR3","Other Slope Rockfish","rockfish, unspecified slope","D",0,515.82
"1994","SLR3","Other Slope Rockfish","rockfish, unspecified slope","R",0,137.34
"1994","SLR3","Other Slope Rockfish","rockfish, vermilion","R",1,NA
"1994","SLR3","Other Slope Rockfish","rockfish, yellowmouth","R",1,NA
