"year","model","race_group","bio_tons","bio_tkm2","var_bio_tons"
2001,"WGOA","Other skates",12856.4508791041,0.0547620728420779,53853437.9545234
2001,"WGOA","Pacific capelin",278.588771814838,0.00118664931391798,111518.404440059
2001,"WGOA","Pacific cod",257613.796935693,1.09730637526456,53178793434.7646
2001,"WGOA","Pacific dogfish",31774.3501329039,0.135342894617664,1295942315.58659
2001,"WGOA","Pacific halibut",345275.627178794,1.47070207975444,21048014168.532
2001,"WGOA","Pacific herring",28701.5485590171,0.122254291456434,15403183743.5699
2001,"WGOA","Pacific ocean perch",673155.061492759,2.86730504850251,760984904064.143
2001,"WGOA","Pacific sandlance",12.2783796645056,5.22997775897228e-05,381.655285308208
2001,"WGOA","Pacific sleeper shark",37694.7715698715,0.160560939086995,3219556316.07055
2001,"WGOA","Pandalid shrimp",8360.07103119331,0.0356097357723545,11925265.6603336
2001,"WGOA","Pelagic shelf rockfish",31416.4732780983,0.133818517588914,2205486574.99514
2001,"WGOA","Rex sole",51257.8229852408,0.218332778030237,250711623.294001
2001,"WGOA","Sablefish",188563.048166791,0.803184601733072,32942558229.6639
2001,"WGOA","Salmon returning",6868.29551808482,0.0292555156161797,26727027.0455191
2001,"WGOA","Sessile epifauna",63098.6632490644,0.268768855851125,1962200384.70768
2001,"WGOA","Shallow-water flatfish",330706.336659386,1.40864416375696,39181298295.7186
2001,"WGOA","Shelf demersal fish",13487.3274968319,0.0574492927925326,78426722.4620515
2001,"WGOA","Shelf forage fish",54030.876899864,0.230144605563015,1439729412.79086
2001,"WGOA","Slope demersal fish",165943.591064107,0.706836988449009,16324238398.34
2001,"WGOA","Slope forage fish",33.9325733734459,0.000144535849922314,1110.95434260391
2001,"WGOA","Slope rockfish",403480.019950427,1.71862378277044,886272463116.371
2001,"WGOA","Squid",6612.27606809233,0.0281650003642399,14538718.8915139
2001,"WGOA","Tanner crab",3122.43576362724,0.0133000200708875,17949437.0346706
2001,"WGOA","Thornyheads",28661.1773725795,0.122082330323988,39572800.2090529
2001,"WGOA","Walleye pollock",210814.596625657,0.897965107567225,73184815442.2158
2003,"WGOA","Arrowtooth flounder",2536841.07269712,10.8056785592055,3320283611799.24
2003,"WGOA","Atka mackerel",65018.5545110678,0.276946635716452,24107384648.2902
2003,"WGOA","Big skate",43416.1841146136,0.184931304865313,1081069114.72177
2003,"WGOA","Deep-water flatfish",52560.5664528879,0.223881815889961,345455487.816187
2003,"WGOA","Demersal shelf rockfish",952.333027489161,0.00405646403596822,4945391.00572348
2003,"WGOA","Flathead sole",237906.410181298,1.01336273023223,10435914910.0058
2003,"WGOA","Gelatinous carnivores",10394.4766275576,0.0442752896259073,12438719.0161886
2003,"WGOA","Infauna",3557.12265441002,0.0151515695692979,114830664.136312
2003,"WGOA","King crab",1593.30460423672,0.00678668348032525,47990722.9153749
2003,"WGOA","Large sculpins",25038.1009175256,0.106649830436592,223441525.544335
2003,"WGOA","Lingcod",4471.52717568362,0.0190464770730863,26655349.6547623
2003,"WGOA","Longnose skate",26522.4627088196,0.112972471832979,122504122.854975
2003,"WGOA","MISC_NA",471.005457111725,0.00200624848909824,9477810.94371034
2003,"WGOA","MISC_SHELLS",1336.95459723756,0.00569476022029309,9351363.15835152
2003,"WGOA","Miscellaneous deep-sea fish",5.45995897312567,2.32567038767311e-05,7.67968740489794
2003,"WGOA","Motile epifauna",32060.4233901413,0.136561424109071,875228220.747768
2003,"WGOA","Nonpandalid shrimp",93.9650946367369,0.000400244469138305,4616.37467321529
2003,"WGOA","Octopus",3755.21364647176,0.0159953384631126,17538992.099795
2003,"WGOA","Other gelatinous zooplankton",22.1212956392185,9.42256937429716e-05,1088.191319793
2003,"WGOA","Other skates",20789.9228340877,0.0885547091749805,121671638.031132
2003,"WGOA","Pacific capelin",7289.76832172451,0.0310507796895162,841768481.341527
2003,"WGOA","Pacific cod",282712.61341697,1.20421482374093,50663588585.5014
2003,"WGOA","Pacific dogfish",59933.8862055669,0.2552884830317,9806907478.65092
2003,"WGOA","Pacific halibut",515332.552084602,2.19505982020423,144996715747.085
2003,"WGOA","Pacific herring",652.695910516611,0.00278015926257929,2696350.19059309
2003,"WGOA","Pacific ocean perch",355923.275041083,1.51605575265488,91092217679.3361
2003,"WGOA","Pacific sandlance",9.52905719715261,4.05890341941057e-05,1087.98299128879
2003,"WGOA","Pacific sleeper shark",52115.6421152569,0.221986659970518,3473860571.19944
2003,"WGOA","Pandalid shrimp",7251.31914709201,0.0308870053693914,12444925.1150061
2003,"WGOA","Pelagic shelf rockfish",58259.2220385753,0.248155248365213,38998805055.1049
2003,"WGOA","Rex sole",71238.1560124299,0.303439038142993,720259515.922024
2003,"WGOA","Sablefish",194078.057805106,0.826675794005197,11698279688.891
2003,"WGOA","Salmon returning",19188.314761946,0.0817326570599882,252936289.705898
2003,"WGOA","Salmon shark",3612.82892191862,0.0153888505038071,184319604.883354
2003,"WGOA","Sessile epifauna",36368.0977821338,0.154909969991018,1088979958.10536
2003,"WGOA","Shallow-water flatfish",350147.322689086,1.49145307448135,34168302974.1946
2003,"WGOA","Shelf demersal fish",8782.29115266327,0.0374081830471704,28952499.1405721
2003,"WGOA","Shelf forage fish",96951.4758226496,0.412964964520352,7648240621.7009
2003,"WGOA","Slope demersal fish",343717.763971509,1.46406635896045,16905177745.7149
2003,"WGOA","Slope forage fish",89.3949917691595,0.000380778108749776,1145.03393495791
2003,"WGOA","Slope rockfish",131408.647385238,0.559735341258564,39658674217.7146
2003,"WGOA","Squid",4394.81273017841,0.0187197117711923,8816815.99300087
2003,"WGOA","Tanner crab",6942.4283607424,0.0295712845766634,402825269.392514
2003,"WGOA","Thornyheads",74212.8471735183,0.316109739845822,331960605.786186
2003,"WGOA","Walleye pollock",385837.131405221,1.64347387112355,93261686985.1573
2005,"WGOA","Arrowtooth flounder",1656142.48697901,7.05434154119558,263523237548.956
2005,"WGOA","Atka mackerel",100912.199965824,0.429835675269024,85370419174.2512
2005,"WGOA","Big skate",35336.1670773743,0.150514459522895,914756043.105861
2005,"WGOA","Deep-water flatfish",41853.7896800614,0.17827628330162,239866002.261401
2005,"WGOA","Demersal shelf rockfish",1899.27416780389,0.00808996131999387,18086437.805689
2005,"WGOA","Flathead sole",201501.478610512,0.858295866660221,7059020831.59487
2005,"WGOA","Gelatinous carnivores",18020.3265716293,0.0767576095170644,137699677.955004
2005,"WGOA","Infauna",2207.02670684956,0.00940083374653151,6350470.94498362
2005,"WGOA","King crab",426.854804091577,0.00181818871276881,1562687.84445753
2005,"WGOA","Large sculpins",32014.2572445568,0.136364779338978,226438815.091369
2005,"WGOA","Lingcod",10957.9271980826,0.0466753082217198,712808611.512924
2005,"WGOA","Longnose skate",31575.4477048384,0.134495669410909,163527460.859855
2005,"WGOA","MISC_NA",17880.3155098093,0.0761612321779229,4120374827.39647
2005,"WGOA","MISC_SHELLS",551.331239541339,0.00234839628633028,708827.060365273
2005,"WGOA","Miscellaneous deep-sea fish",18.8010369075246,8.00830464269e-05,119.166287533507
2005,"WGOA","Motile epifauna",36815.5068876247,0.156815709783088,168552263.529195
2005,"WGOA","Mysids",0.529176996219023,2.25403025187908e-06,0.279144208395019
2005,"WGOA","Nonpandalid shrimp",262.781106055418,0.00111931653662813,389781.431736431
2005,"WGOA","Octopus",1034.18708803161,0.00440512153623766,2313820.48258708
2005,"WGOA","Other gelatinous zooplankton",85.4583849748118,0.000364010125886553,3800.71963625198
2005,"WGOA","Other skates",29276.473530561,0.124703185281525,184214090.738253
2005,"WGOA","Pacific capelin",429.662218072208,0.00183014689705707,1593101.33609997
2005,"WGOA","Pacific cod",294130.443531545,1.25284908916243,190732254994.919
2005,"WGOA","Pacific dogfish",15964.9791819335,0.068002854061713,1203311454.72693
2005,"WGOA","Pacific hake",5.75327372604021,2.4506078530421e-05,297.901427100701
2005,"WGOA","Pacific halibut",478368.306874192,2.03761055930012,214228625999.31
2005,"WGOA","Pacific herring",2461.42564340588,0.0104844464189283,40466327.0543367
2005,"WGOA","Pacific ocean perch",626523.316636382,2.66867705757474,299920130521.167
2005,"WGOA","Pacific sandlance",32.2812891451216,0.000137502202141538,36162.35453572
2005,"WGOA","Pacific sleeper shark",53709.9233253004,0.228777503304821,2819264636.91893
2005,"WGOA","Pandalid shrimp",10004.5713617172,0.0426144875297265,24752957.6792218
2005,"WGOA","Pelagic shelf rockfish",191821.004807792,0.817061873195352,104289494380.231
2005,"WGOA","Rex sole",73365.278966203,0.312499521726989,1292135031.21298
2005,"WGOA","Sablefish",220042.578524029,0.937271711050256,6923280039.28795
2005,"WGOA","Salmon returning",8678.46000684106,0.036965914117412,48100804.6003333
2005,"WGOA","Salmon shark",2455.31229099823,0.0104584065846844,217028104.067771
2005,"WGOA","Sessile epifauna",65824.6768242432,0.280380314983681,2234951242.264
2005,"WGOA","Shallow-water flatfish",346620.841651484,1.47643202292728,18108576239.6715
2005,"WGOA","Shelf demersal fish",17423.9665533653,0.0742174130765866,140232079.325996
2005,"WGOA","Shelf forage fish",41620.2262413125,0.177281419465069,1388027217.26076
2005,"WGOA","Slope demersal fish",563818.046399283,2.40158385987993,40596897122.3619
2005,"WGOA","Slope forage fish",241.569218146803,0.00102896446655119,2778.37508464432
2005,"WGOA","Slope rockfish",475702.854601419,2.0262570611309,592282340613.913
2005,"WGOA","Squid",4094.97548449899,0.0174425545492601,3952595.13301875
2005,"WGOA","Tanner crab",5701.46523752611,0.0242854001917002,9231931.34938874
2005,"WGOA","Thornyheads",65587.7972352655,0.279371325999989,106063069.254499
2005,"WGOA","Walleye pollock",344199.420199846,1.46611797442642,105601651125.12
2007,"WGOA","Arrowtooth flounder",1698707.32563342,7.23564653872738,497624524313.61
2007,"WGOA","Atka mackerel",82324.0831768296,0.350659562423573,56218405044.5495
2007,"WGOA","Big skate",30292.2079051247,0.129029707455577,1012892421.84124
2007,"WGOA","Deep-water flatfish",45936.1880879274,0.195665265773081,447558606.717134
2007,"WGOA","Demersal shelf rockfish",1103.87484229339,0.00470195663567303,2591563.98192195
2007,"WGOA","Euphausiids",0.0124253672847904,5.29258715906732e-08,0.00602120033431563
2007,"WGOA","Flathead sole",256001.545802449,1.09043898901398,11056114648.4462
2007,"WGOA","Gelatinous carnivores",939.184202696291,0.00400045659597829,651899.467619498
2007,"WGOA","Infauna",2700.55531296839,0.0115030196244285,48870302.3273897
2007,"WGOA","King crab",240.988430246512,0.00102649059957184,128800.20025917
2007,"WGOA","Large sculpins",31179.2544792562,0.132808083740269,321174605.957931
2007,"WGOA","Lingcod",7969.12708586864,0.0339445094192686,111286586.501975
2007,"WGOA","Longnose skate",26710.6036068937,0.113773858285725,190387977.943353
2007,"WGOA","MISC_NA",8737.54435499129,0.0372175839917541,2858552623.71159
2007,"WGOA","MISC_SHELLS",711.115754899469,0.00302899868207387,344608.28756846
2007,"WGOA","Miscellaneous deep-sea fish",6.84079658074338,2.91383838491055e-05,72.1262900131056
2007,"WGOA","Motile epifauna",23904.6788881734,0.101822017510936,81111639.388746
2007,"WGOA","Nonpandalid shrimp",190.04760158318,0.000809508059356851,68732.1095543698
