"year","species_group_code","species_group_name","species_name","retained_or_discarded","agency_gear_code","conf_flag","catch_mt","assigned_group"
2013,"ROCK","Other Rockfish","rockfish, sharpchin","R","NPT",0,12.4070658266,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, silvergray","D","HAL",0,0.6817000317,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, silvergray","D","NPT",0,6.2565668829,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, silvergray","D","POT",0,0.0793202287,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, silvergray","R","HAL",0,0.2053222894,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, silvergray","R","JIG",0,0.0605962378,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, silvergray","R","NPT",0,4.7408532016,"Slope rockfish"
2013,"ROCK","Other Rockfish","rockfish, tiger","D","HAL",0,0.3807214895,"Demersal shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, tiger","D","NPT",0,0.6735321,"Demersal shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, tiger","R","HAL",0,0.2698268687,"Demersal shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, tiger","R","NPT",0,0.1940215948,"Demersal shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, widow","D","NPT",0,30.297642,"Pelagic shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, widow","D","POT",0,0.0819021886,"Pelagic shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, widow","R","NPT",0,4.4319688796,"Pelagic shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, yelloweye (red snapper)","D","HAL",0,67.811806386,"Demersal shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, yelloweye (red snapper)","D","NPT",0,16.8013177412,"Demersal shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, yelloweye (red snapper)","D","POT",0,1.1942760435,"Demersal shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, yelloweye (red snapper)","R","HAL",0,46.2731121404,"Demersal shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, yelloweye (red snapper)","R","JIG",0,1.3259800951,"Demersal shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, yelloweye (red snapper)","R","NPT",0,39.9012638166,"Demersal shelf rockfish"
2013,"ROCK","Other Rockfish","rockfish, yellowtail","R","JIG",0,0.3076467106,"Pelagic shelf rockfish"
2013,"SABL","Sablefish","sablefish (blackcod)","D","HAL",0,278.3503559098,"Sablefish"
2013,"SABL","Sablefish","sablefish (blackcod)","D","NPT",0,12.083187885,"Sablefish"
2013,"SABL","Sablefish","sablefish (blackcod)","D","POT",0,0.2535721025,"Sablefish"
2013,"SABL","Sablefish","sablefish (blackcod)","R","HAL",0,5594.2781155569,"Sablefish"
2013,"SABL","Sablefish","sablefish (blackcod)","R","NPT",0,660.1131541977,"Sablefish"
2013,"SABL","Sablefish","sablefish (blackcod)","R","PTR",0,0.3185370419,"Sablefish"
2013,"SCLP","Sculpin","sculpin, bigmouth","D","HAL",0,32.1298897862,"Large sculpins"
2013,"SCLP","Sculpin","sculpin, bigmouth","D","NPT",0,63.4428215403,"Large sculpins"
2013,"SCLP","Sculpin","sculpin, bigmouth","D","POT",0,0.1426360988,"Large sculpins"
2013,"SCLP","Sculpin","sculpin, general","D","NPT",0,3.440803699,"Shelf demersal fish"
2013,"SCLP","Sculpin","sculpin, general","R","HAL",0,0.418212165,"Shelf demersal fish"
2013,"SCLP","Sculpin","sculpin, general","R","NPT",0,28.6833671082,"Shelf demersal fish"
2013,"SCLP","Sculpin","sculpin, general","R","POT",0,0.7252941987,"Shelf demersal fish"
2013,"SCLP","Sculpin","sculpin, general","R","PTR",0,2.9415465196,"Shelf demersal fish"
2013,"SCLP","Sculpin","sculpin, great","D","HAL",0,41.7464178954,"Large sculpins"
2013,"SCLP","Sculpin","sculpin, great","D","NPT",0,82.8433382362,"Large sculpins"
2013,"SCLP","Sculpin","sculpin, great","D","POT",0,23.5739909314,"Large sculpins"
2013,"SCLP","Sculpin","sculpin, other large","D","HAL",0,617.3575968059,"Shelf demersal fish"
2013,"SCLP","Sculpin","sculpin, other large","D","NPT",0,42.9439631951,"Shelf demersal fish"
2013,"SCLP","Sculpin","sculpin, other large","D","POT",0,60.4360986148,"Shelf demersal fish"
2013,"SCLP","Sculpin","sculpin, plain","D","HAL",0,2.87631219,"Large sculpins"
2013,"SCLP","Sculpin","sculpin, plain","D","NPT",0,1.4328595144,"Large sculpins"
2013,"SCLP","Sculpin","sculpin, yellow irish lord","D","HAL",0,252.9913515601,"Large sculpins"
2013,"SCLP","Sculpin","sculpin, yellow irish lord","D","NPT",0,413.1346199819,"Large sculpins"
2013,"SCLP","Sculpin","sculpin, yellow irish lord","D","POT",0,59.2609095247,"Large sculpins"
2013,"SFL1","GOA Shallow Water Flatfish","flounder, Alaska plaice","D","NPT",0,4.703206941,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","flounder, Alaska plaice","R","NPT",0,12.3309085783,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","flounder, general","D","HAL",0,0.2887993917,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","flounder, general","D","NPT",0,1.6046294402,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","flounder, starry","D","HAL",0,0.4567886773,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","flounder, starry","D","NPT",0,21.0991619415,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","flounder, starry","R","NPT",0,113.425424155,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","flounder, starry","R","PTR",0,0.2467542492,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","groundfish, general","D","HAL",0,7.3226315811,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","groundfish, general","D","POT",0,0.1871900955,"Shallow-water flatfish"
2013,"SFL1","GOA Shallow Water Flatfish","sole, English","D","NPT",0,28.0720847527,"Shallow-water flatfish"
